,Datetime,Text,Hashtags
0,2023-06-19 20:51:18+00:00,"shorts dead, longs dead, guess we are good to go",
1,2023-06-19 18:03:46+00:00,"RT @BitcoinMagazine: NEW: $4.5 trillion Fidelity rumored to file for spot #bitcoin ETF

Race heating up? 👀🚀 https://t.co/TPM0r0TBl2",['bitcoin']
2,2023-06-19 15:43:11+00:00,What will #Bitcoin price be on 31 Dec 2023?,['Bitcoin']
3,2023-06-19 15:36:28+00:00,"RSI stuck around 50, patiently awaiting the pump https://t.co/LfTjpLVixa",
4,2023-06-19 12:22:01+00:00,"RT @AP_Abacus: UPDATE: @DigitalAssets and @Fidelity is about to make a seismic move in crypto via both $BTC and $ETH. 

Sources expect Fide…",
5,2023-06-19 07:24:06+00:00,#Bitcoin the green alternative to banking,['Bitcoin']
6,2023-06-18 09:54:44+00:00,RT @DocumentingBTC: https://t.co/gh2mkIy9hI,
7,2023-06-17 23:17:57+00:00,RT @GOPMajorityWhip: #FireGaryGensler,['FireGaryGensler']
8,2023-06-17 22:43:33+00:00,"RT @100trillionUSD: Using a #Bitcoin wallet app is much easier than opening a bank account and using a banking app:

1) install wallet app…",['Bitcoin']
9,2023-06-16 18:25:28+00:00,"Congratulations to all #Bitcoin    sellers for the last two months: you have been selling to BlackRock, frontloading their ETF🥳 https://t.co/3jUQl9GZoP",['Bitcoin']
10,2023-06-16 18:03:09+00:00,"RT @100trillionUSD: SEC, Binance, Coinbase = noise.
Scarcity, Stock-to-Flow, April 2024 halving = signal. https://t.co/mU34wNYZOU",
11,2023-06-16 16:44:33+00:00,"RT @deltaxbt: Blackrock has an ETF approval rate of 575-1 yes
But Bitcoin ETFs have an approval rate of 0-100 or more? lol
Two strong stati…",
12,2023-06-15 17:50:57+00:00,"RT @PatrickAlphaC: Coinbase: we gonna IPO

SEC: you good

SEC: jk we suing you 

Coinbase: for what?

SEC: not telling you

Coinbase: wtf…",
13,2023-06-15 14:58:31+00:00,"RT @CoinDesk: SCOOP: Investment giant @BlackRock is close to filling an application for a Bitcoin ETF, according to a source. @IanAllison12…",
