,Datetime,Text,Hashtags
0,2016-11-13 17:00:07+00:00,"My rules of business: Build shit people want, never give up, avoid assholes, question assumptions, learn new ideas &amp; always reward ambition",
1,2023-06-15 02:02:01+00:00,"RT @APompliano: There is a lack of high-quality, actionable market data in the bitcoin &amp; crypto industry.

We have been working on solving…",
2,2023-06-14 14:31:00+00:00,There is not one industry that failed to add jobs over the last 12 months. https://t.co/U239Xwrxgz,
3,2023-06-14 13:21:01+00:00,"RT @polina_marinova: Extraordinary moments are simply ordinary moments laced with context.

Never forget that you are the sole creator of t…",
4,2023-06-14 12:46:06+00:00,The stupidity continues.,
5,2023-06-14 12:02:34+00:00,"Facebook remains the most popular social network for news.

(h/t @BayAreaTimes) https://t.co/sDLWM2UbLO",
6,2023-06-14 11:42:38+00:00,Good morning. Today is going to be a great day. Let’s get after it relentlessly,
7,2023-06-13 12:39:16+00:00,"Hang it in the Louvre.

Basically the internet equivalent of Babe Ruth stepping up to the plate and pointing to center field. https://t.co/ztlU7RrcFe",
8,2023-06-13 12:29:56+00:00,"This chart of China-focused fundraising is stunning.

(h/t @BayAreaTimes) https://t.co/DyYdG1j7vc",
9,2023-06-13 11:01:51+00:00,Good morning. Today is going to be a great day. Let’s get after it relentlessly,
10,2023-06-13 01:39:27+00:00,"RT @APompliano: Here are 44 charts to explain what is happening in the US economy right now.

Let's dig in 👇🏼",
11,2023-06-12 21:31:00+00:00,"It is wild that SpaceX now casually mentions “this is our second launch of the day.”

Innovation is a beautiful thing to watch. https://t.co/QPeYBnVjPY",
12,2023-06-12 18:33:49+00:00,"Angel investing is one of the best concepts in the world.

You give money to your friends and then they use it to go chase their dreams.

If they succeed, you get to enjoy in the upside of what they create.

If they fail, you both soak in misery together.

Ultimate win-win.",
13,2023-06-12 14:09:42+00:00,"Varda is going to space today.

First launch of a space drug factory in US history.

@packyM broke down this insane idea being pursued by @WillBruey and @zebulgar.

Enjoy!
https://t.co/DVuLfi7A8c",
14,2023-06-12 12:54:15+00:00,"The pandemic exposed America's vulnerabilities around domestic manufacturing and supply chains.

There is mounting evidence that both of these vital activities are starting to come back home. 

https://t.co/u0ngRyvCCV",
15,2023-06-12 12:42:06+00:00,"RT @SquawkCNBC: ""I don't think we ever go back to where we were,"" says $BLCO CEO @brentlsaunders on remote vs. in person work. ""I used to b…",
16,2023-06-12 11:01:39+00:00,Good morning. Today is going to be a great day. Let’s get after it relentlessly,
17,2023-06-12 02:21:22+00:00,"RT @APompliano: Our team has helped 2,000+ people get a new job in the last 2 years. 

That is ~ 3 people PER DAY.

On Monday June 19th I a…",
18,2023-06-11 23:52:19+00:00,"A few weeks ago it was announced that the Santa Monica Fire Fighters Union had their bitcoin in self-custody.

That is rare in the institutional world, so I sat down with @Beiwatch1 to learn what they are doing.

Found it very interesting. Enjoy!

https://t.co/4icglcG2C4",
