,Datetime,Text,Hashtags
0,2023-06-09 14:28:20+00:00,@Fraser @OpenAI Bittensor,
1,2023-06-06 13:36:16+00:00,@cobie @fintechfrank doesn't DASH have some kind of staking component?,
2,2023-04-29 19:23:06+00:00,@cryptomanran how are the bids looking?,
3,2023-04-25 11:11:22+00:00,RT @DCGco: DCG Statement on Genesis filing Motion for Mediation: https://t.co/pRluUnL49C,
4,2023-01-12 19:05:49+00:00,@DavidFBailey @CoinDesk @business @WSJ @GaryGensler @FT same day as the rest of the world,
5,2022-12-19 13:58:44+00:00,@udiWertheimer looking forward to getting this year behind us,
6,2022-11-11 23:24:22+00:00,@nic__carter what's your read on spot bitcoin ETF approval in 2023? asking for a friend,
7,2022-11-07 17:58:56+00:00,RT @Livepeer: The Livepeer network processed over 14M minutes in October 🌐 https://t.co/csAcGWnzTv,
8,2022-11-06 16:02:29+00:00,"More info about Grayscale Digital Infrastructure Opportunities here:

https://t.co/IxRMcbeeKF",
9,2022-11-03 13:16:25+00:00,@GlobalMoneyBTC smart,
10,2022-10-29 14:11:43+00:00,RT @colyermike: Privacy matters.,
11,2022-10-26 22:18:52+00:00,Bunch of those sweet sweet Twitter sale proceeds are about to go into crypto,
12,2022-10-26 02:51:37+00:00,RT @FT: ‘We never lost interest’: Asian family offices buy into crypto https://t.co/4hmjredC58,
13,2022-10-22 14:46:33+00:00,RT @DocumentingBTC: How it started:                          How it's going: https://t.co/bNIPxTuOZS,
14,2022-10-21 12:32:37+00:00,RT @markets: Gold falls near its lowest price in two years https://t.co/MoBfN7FwzK,
15,2022-10-19 23:54:07+00:00,@udiWertheimer halving only 550 days away,
16,2022-10-19 17:18:13+00:00,RT @alistairmilne: Pressure is mounting on the SEC,
17,2022-10-19 17:03:04+00:00,"US Chamber of Commerce Rips SEC for Denying Proposed Grayscale Bitcoin ETF

https://t.co/KuhaXSPZ4D",
18,2022-10-12 00:24:04+00:00,"Yes, over 850,000 Americans own $GBTC. It is time for the SEC to approve a spot-based bitcoin ETF",
19,2022-10-11 14:20:53+00:00,👀,
20,2022-10-11 14:10:31+00:00,@fintechfrank i’m totally okay with this meme becoming my life’s legacy,
21,2022-10-11 12:19:37+00:00,"BlackRock, Google, BNY Mellon

Probably nothing",
22,2022-10-11 12:19:37+00:00,"BlackRock, Google, BNY Mellon

Probably nothing",
23,2022-10-05 20:30:16+00:00,@lopp details details,
24,2022-10-05 18:51:38+00:00,@lopp sweet. massive adoption of the ZEC blockchain,
25,2022-10-03 02:48:48+00:00,"@PeterSchiff missed you, peter. super compelling argument for gold",
26,2022-09-28 13:15:29+00:00,Bitcoin is about to become the safe haven asset. Nowhere else to hide,
27,2022-09-26 02:20:41+00:00,Bunch of people staring at their computer screens right now hoping that bitcoin catches a bid,
28,2022-09-24 02:10:31+00:00,@balajis that is Horizen $ZEN,
29,2022-09-22 00:20:28+00:00,"Fortune favors the brave

- Matt Damon",
30,2022-09-18 21:41:16+00:00,Going to be a small week,
31,2022-09-13 21:46:57+00:00,"RT @fintechfrank: .@BarrySilbert's DCG cracks top 20, ranked 19th",
32,2022-09-11 23:41:59+00:00,"No, I'm not going to comment on what type of week this is going to be",
33,2022-09-08 13:22:06+00:00,@SBF_FTX and would open the door for BTC and ETH spot-based ETFs...,
34,2022-09-08 13:15:20+00:00,RT @fintechfrank: Significant,
35,2022-08-13 20:40:48+00:00,@Ninjascalp wen boom?,
36,2022-08-13 18:27:44+00:00,@Ninjascalp short position fully on yet?,
37,2022-08-13 18:14:18+00:00,RT @zooko: Today is a good day for everyone to post this. https://t.co/BwVXNixPO0,
38,2022-08-11 23:05:32+00:00,@inversebrah (takes bow),
39,2022-08-11 13:29:36+00:00,@fintechfrank https://t.co/adp8qGSutp,
40,2022-08-11 13:19:15+00:00,SPOT-based...,
41,2022-08-11 12:58:59+00:00,Here comes Wall Street...,
42,2022-08-09 22:49:05+00:00,RT @cburniske: Momentum in @zcash's favor is growing...,
43,2022-08-09 17:56:32+00:00,Apparently $MANA is going to take down the entire financial system,
44,2022-08-07 22:57:58+00:00,@fintechfrank *SOURCES AT THE BLOCK SAY BITCOIN WILL SOON HIT ALL TIME HIGH,
45,2022-08-06 16:29:40+00:00,@EtcSage @ChandlerGuo I like and respect Chandler. just disagree with him on this strategy,
46,2022-08-06 15:47:43+00:00,@ChandlerGuo you have the opportunity to be the hero or villain here. choose hero,
47,2022-08-06 14:43:17+00:00,RT @horizenglobal: #NFTs coming to #TokenMint soon! 👀 https://t.co/bZKn6JW34V,"['NFTs', 'TokenMint']"
48,2022-08-06 14:26:10+00:00,@gainzy222 @NoviolNFT they’re going to make movies about my ZEC redemption arc one day,
49,2022-08-04 12:40:47+00:00,Surprised the BTC price didn't move on this news. It is a game changer,
50,2022-08-03 12:35:06+00:00,This is a big deal,
51,2022-07-27 12:45:29+00:00,@inversebrah that hurts my feelings,
52,2022-07-27 12:43:40+00:00,"@TheStalwart along those lines, privacy coins will have their day in the sun, eventually",
53,2022-07-26 16:15:34+00:00,I'm genuinely excited about the Ethereum merge. Who would've guessed it?!?,
54,2022-07-18 15:13:46+00:00,RT @zcash: Privacy is a human right.,
55,2022-07-13 17:45:59+00:00,RT @zerohedge: Cryptos finally realizing that the Fed will unleash the firehose soon,
56,2022-07-06 23:53:40+00:00,WSJ Editorial Board: Gary Gensler’s Bitcoin Regulation Grab https://t.co/ypU01B0Vxd,
57,2022-06-30 01:06:33+00:00,"Grayscale Investments Initiates Lawsuit Against the SEC

$GBTC https://t.co/bHNfmqHEV4",
58,2022-06-30 01:03:09+00:00,"RT @Sonnenshein: We’ve filed a lawsuit against the SEC. 

$GBTC",
59,2022-06-16 22:36:58+00:00,"RT @NateGeraci: @EricBalchunas @JSeyff Alright, best I’ve got right now… https://t.co/QkWFutWkkX",
60,2022-06-11 12:41:29+00:00,@inversebrah https://t.co/WBARbKVxL7,
61,2022-06-10 18:49:51+00:00,"Damn you, @jack!!",
62,2022-06-07 12:58:39+00:00,@UVtho hang in there,
63,2022-06-06 20:09:57+00:00,"@TheStalwart yes, yes it is. jealous there is no $BloomieCoin??",
64,2022-06-06 18:11:05+00:00,Stacking $DESK,
65,2022-06-06 20:06:02+00:00,@gckaloudis so no go on taking your paycheck in DESK?,
66,2022-06-05 02:24:14+00:00,@udiWertheimer @bradmillscan hell yeah. DM me,
67,2022-06-04 22:03:07+00:00,Going to be a big week,
68,2022-06-05 02:14:18+00:00,@bradmillscan i'm making progress. stay tuned,
69,2022-06-04 15:41:08+00:00,@aquietinvestor @Matthew_C_Beck will check it out,
70,2022-06-03 14:24:28+00:00,"thank you for voting no, @SenKennedy. we appreciate your support of our industry",
71,2022-06-03 01:12:02+00:00,@aumanpj @SenKennedy @GenesisTrading @SUNY cc @FoundryServices @colyermike,
72,2022-06-03 01:04:19+00:00,"@fintechfrank @SenKennedy if this moratorium bill passes, i don't think we will be",
73,2022-06-02 15:47:23+00:00,@fintechfrank my secret lair,
74,2022-06-02 12:08:09+00:00,"@fintechfrank Hiring:

DCG &amp; subsidiaries -

https://t.co/IyeHK2Cvfp",
75,2022-05-17 17:05:53+00:00,Zcash $ZEC positive on the week,
76,2022-05-16 23:39:19+00:00,@gainzxbt https://t.co/TZ2WdR8H0V,
77,2022-05-16 22:55:15+00:00,The decoupling is going to be magnificent,
78,2022-05-16 22:02:29+00:00,@UrbanKaoboy does gold have the same fate as bitcoin?,
79,2022-05-14 14:38:56+00:00,"@ParrillaDiego feature, not a bug. darwinism applies to money too. hence:",
80,2022-05-12 21:41:58+00:00,@fintechfrank i’m going to blame Jed,
81,2022-05-12 21:38:52+00:00,I'd like to lodge a complaint against whoever decided that crypto should trade 24/7,
82,2022-05-12 16:35:44+00:00,Onward and upward,
83,2022-05-12 15:21:37+00:00,"@RealWillyBot shockingly bad research. DCG is owned and controlled by the CIA, obviously",
84,2022-05-12 12:20:08+00:00,You'll be happy to hear that Luna/UST is the only bail-out call we've received so far,
85,2022-05-11 19:48:54+00:00,Nibbling,
86,2022-05-11 17:58:32+00:00,How today feels https://t.co/PaoTgYjbAW,
87,2022-05-11 14:03:05+00:00,"@hblodget “as bitcoin craters”

you crack me up",
88,2022-05-11 13:02:25+00:00,"@fintechfrank not Genesis!
https://t.co/SVyX5hV3F0",
89,2022-05-11 11:56:04+00:00,@davidzmorris this ain’t my first rodeo,
90,2022-05-11 00:04:15+00:00,I have a newfound appreciation for the boringness of bitcoin,
91,2022-05-11 11:53:31+00:00,@davidzmorris you’ll be happy to hear that DCG had no UST or Luna exposure,
92,2022-05-09 17:12:41+00:00,I'd rather own bitcoin than anything else in this market,
