,Datetime,Text,Hashtags
0,2023-06-22 20:32:43+00:00,What is your opinion about crypto and regulations? #shift,['shift']
1,2023-06-20 15:10:52+00:00,What do you think are the main barriers to entering the crypto ecosystem? #shift,['shift']
2,2023-06-20 13:22:24+00:00,Join our very own @johann_bornman in 40 minutes!,
3,2023-06-18 13:08:25+00:00,RT @LineaBuild: 📣Week 7 ends in a little over 1.5 days!,
4,2023-06-17 12:01:09+00:00,https://t.co/bSJacLmz26,
5,2023-06-16 19:02:58+00:00,@_emjlin 😂,
6,2023-06-15 16:03:05+00:00,"Bring out the OG builder in you 🫵

Can you decipher this message? 🥗  #shift https://t.co/HIpXFI7lfP",['shift']
7,2023-06-16 18:34:49+00:00,🌐#shift https://t.co/8Gez3jZi5m,['shift']
8,2023-06-16 12:53:57+00:00,🫡 #shift https://t.co/NUOyibCTvN,['shift']
9,2023-06-15 16:03:05+00:00,"Bring out the OG builder in you 🫵

Can you decipher this message? 🥗  #shift https://t.co/HIpXFI7lfP",['shift']
10,2023-06-15 15:02:17+00:00,@SoulSplicersNFT @MetaMask @NeoTokyoCode @ZssBecker 💙,
11,2023-06-14 14:02:21+00:00,What's the main concept that you associate with cryptocurrencies?,
12,2023-06-13 18:32:22+00:00,"RT @MetaMask: Happening tomorrow - don't forget to set a reminder!
 https://t.co/atgeX7G3GU",
13,2023-06-13 16:54:47+00:00,#shift https://t.co/R6EqJxlls8,['shift']
14,2023-06-12 15:11:00+00:00,a/s/l 🥲,
15,2023-06-10 10:00:55+00:00,"A classic.
https://t.co/TMoMd6Y00G",
16,2023-06-09 15:38:18+00:00,https://t.co/Z0HgRztEHP,
17,2023-06-09 15:37:44+00:00,https://t.co/xKGxz4jMh7,
18,2023-06-09 15:37:44+00:00,https://t.co/xKGxz4jMh7,
19,2023-06-09 14:18:02+00:00,"Yay for Friday! 

Get your learn on with @MetaMask Learn this weekend. 
https://t.co/JYfiKlei6M",
20,2023-06-06 17:51:26+00:00,@bwblockchain @_emjlin @ziadmtl 💙,
21,2023-06-06 13:12:17+00:00,RT @LineaBuild: Join us now! ✨⬇️https://t.co/nzf1dnilSQ,
22,2023-06-03 20:03:03+00:00,"RT @LineaBuild: 🙏🏿
https://t.co/ES3b9UJhDO https://t.co/RNYlvaM5XL",
23,2023-06-02 15:20:30+00:00,"RT @LineaBuild: Don't forget to follow us on Lens👇🏿
https://t.co/F8jlG4Xm0W",
24,2023-05-30 14:47:03+00:00,"RT @LineaBuild: It's go time!
https://t.co/zkYmu1VEwL",
25,2023-05-30 13:34:01+00:00,"RT @LineaBuild: Join us for a Twitter Space at 11:30am ET today👇
https://t.co/NsCHEuPBwZ",
26,2023-05-26 23:49:07+00:00,RT @MetaMask: A kind reminder to never share your seed phrase 🙏 https://t.co/23F6gjmjOe,
27,2023-05-24 17:13:14+00:00,"Join us  @LineaBuild voyagers ✨✨

https://t.co/HQO4EES4tj",
28,2023-05-23 17:28:07+00:00,@diempi 🇨🇦,
29,2023-05-19 15:29:33+00:00,RT @LineaBuild: EthGlobal Tokyo Recap https://t.co/URekIfBNt6,
30,2023-05-19 12:30:08+00:00,"Happy Friday!
https://t.co/jFiqIPfcZW",
31,2023-05-18 13:14:42+00:00,RT @MetaMask: The @MetaMaskDev crew had a great time @ETHLisbon 🇵🇹❤️ https://t.co/6yrq8ex7k1,
32,2023-05-17 20:00:42+00:00,https://t.co/BjXQJxA5y2,
33,2023-05-17 19:42:11+00:00,Happening in 20 minutes!,
34,2023-05-16 14:42:26+00:00,RT @LineaBuild: https://t.co/zf3DsCMn1n,
35,2023-05-15 18:14:50+00:00,@fuckinletsgo @francescoswiss @mirkogarozzo @MetaMaskDev 💙,
36,2023-05-15 01:04:04+00:00,RT @LineaBuild: Less than 3 hours to go!,
37,2023-05-13 23:18:32+00:00,"RT @StaniKulechov: Linea is on Lens, follow for progress 🌿",
38,2023-05-13 15:47:39+00:00,"🔥✨🦊

#ETHGlobalLisbon 🇵🇹",['ETHGlobalLisbon']
39,2023-05-13 15:39:25+00:00,"RT @francescoswiss: The 🦊 is around Lisbon this week, come say hi! https://t.co/HmM5lrf203",
40,2023-05-12 19:25:44+00:00,@its_mils_ @_emjlin @LineaBuild 💯💙,
41,2023-05-11 17:42:24+00:00,"RT @LineaBuild: Are you following us on Lens?
https://t.co/F8jlG4Xm0W",
42,2023-05-11 14:41:33+00:00,"'Tis a lovely day to dive into @MetaMask Learn👇
https://t.co/GvGzhq7yR3",
43,2023-05-09 19:50:39+00:00,RT @LineaBuild: 🧠 https://t.co/aoHozxeLIq,
44,2023-05-09 17:02:46+00:00,https://t.co/XsjqiyjHob,
45,2023-05-09 17:02:23+00:00,https://t.co/RjGM2maerH,
46,2023-05-09 17:02:23+00:00,https://t.co/RjGM2maerH,
47,2023-05-09 15:11:49+00:00,RT @LineaBuild: https://t.co/1zmbVxOTuH,
48,2023-05-05 17:06:44+00:00,"Check out these 10 tips to embark on your web3 gaming  journey💥
 https://t.co/k41GvAsmrd",
49,2023-05-03 15:06:50+00:00,"Happening now! 
https://t.co/kkx3Q547M8",
50,2023-05-03 14:57:15+00:00,"RT @LineaBuild: Don't forget to follow us on Lens👇
https://t.co/F8jlG4Xm0W",
