,Datetime,Text,Hashtags
0,2023-06-21 22:25:37+00:00,"@functi0nZer0 ""Siri, play Rolling in the Deep by Adele.""",
1,2023-06-21 22:20:07+00:00,@Tradermayne @mateusz18486151 https://t.co/59LDmyybeE,
2,2023-06-21 16:36:51+00:00,Road to 30k $BTC https://t.co/J9IO8MNPxH,
3,2023-06-21 11:10:03+00:00,@CryptoDonAlt I suppose Casual Friday gonna be a doozy this week,
4,2023-06-20 01:11:37+00:00,@Tradermayne @TraderMercury Just the tip,
5,2023-06-20 01:10:30+00:00,@TraderMercury @Tradermayne Artisan DCA,
6,2023-06-20 01:08:06+00:00,"@TraderMercury @Tradermayne Boxed out a 20% range and still managed to miss it

RIP bozo",
7,2023-06-20 00:59:21+00:00,"@Tradermayne Thanks for not lying, really means a lot",
8,2023-06-19 21:53:03+00:00,"@RunnerXBT He's doing yoga, obviously",
9,2023-06-19 21:41:51+00:00,"@abetrade ""Who's a good little maker? Add some liquidity, I'm about to cross the spread.""",
10,2023-06-19 21:37:58+00:00,"@abetrade ""Adam, today I'll show you what a DOM is.""
""Depth of market?""
""No. Now put on that gag.""",
11,2023-06-19 11:49:38+00:00,@gainzy222 @pierre_crypt0 Oh?,
12,2023-06-16 17:43:58+00:00,@Tradermayne I Fink he might be,
13,2023-06-16 17:00:43+00:00,@CryptoDonAlt You're pregnant,
14,2023-06-16 14:45:49+00:00,@blknoiz06 4,
15,2023-06-16 12:37:44+00:00,@Jimmyjude13 🍻,
16,2023-06-16 10:49:38+00:00,@iamDCinvestor It has creations and redemptions (unlike GBTC),
17,2023-06-16 08:35:02+00:00,@jebus911 Love when boilerplate terms completely freak people out,
18,2023-06-16 08:32:52+00:00,@cz_binance 4,
19,2023-06-16 01:21:08+00:00,"@TheFlowHorse @LomahCrypto Hey, you know what they say about big hands...

Small books",
20,2023-06-16 00:17:54+00:00,"@blknoiz06 XEM
QTUM
DASH
XVG
LSK",
21,2023-06-15 12:41:57+00:00,"@gainzy222 Yeah I’m UFO

Unemployable 
Fear social interaction
Ostracised by society",
22,2023-06-15 12:40:21+00:00,"@gainzy222 Aliens longed the top, got liquidated, flew home in shame",
23,2023-06-15 09:40:23+00:00,"@trader1sz Yearly candle doesn't have a wick

Few, tell your sons this, Matrix attack",
24,2023-06-15 09:37:05+00:00,"GM 

$BTC https://t.co/HzjaOy3ypY",
25,2023-06-14 19:38:43+00:00,@jimtalbot @trader1sz @StrongHedge @WifeyAlpha Watching Django Onchain,
26,2023-06-14 18:04:23+00:00,@tier10k Walter conducted a highly profitable DDoS strategy,
27,2023-06-14 16:28:16+00:00,@Trader_XO I’ve got a great larpe ratio on this one,
28,2023-06-14 11:16:20+00:00,@warobusiness @mattomattik My demons got hands and they're winning,
29,2023-06-14 07:34:44+00:00,"@warobusiness @CL207 “How many years were you off by?”
“4.”",
30,2023-06-14 07:25:41+00:00,@CL207 I’ve just finished my order flow guide: https://t.co/OoRikUfDxj,
31,2023-06-13 21:32:01+00:00,@cz_binance @52kskew @binance Reuters: Chinese CEO Zhao Promotes Disgraced FTX's Token,
32,2023-06-12 21:36:39+00:00,"@abetrade @insiliconot @jimtalbot Fake story

There's no way you'd be with a girl",
33,2023-06-12 21:34:18+00:00,"@insiliconot @jimtalbot Throw a punch

Maybe a reich hook",
34,2023-06-12 14:48:54+00:00,@IamNomad White Monster + unreasonably long vape rip + primal scream into a pillow,
35,2023-06-12 13:53:58+00:00,@CryptoDonAlt 4,
