,Datetime,Text,Hashtags
0,2023-06-10 12:22:07+00:00,"A lot of forced selling of shitcoins, I FUCKING LOVE IT!!!!

I got my shopping list and I intend to load up slowly over the summer. 

Yachzee!!!",
1,2023-06-09 05:27:00+00:00,Went to pottery class for 1st time. Made an offering to Lord Satoshi. It must be filled with the essence of the harpies of the TradFi devil. Who’s essence shall fill my cup? https://t.co/1Gmy8pttbu,
2,2023-06-06 23:54:06+00:00,"The wall of worry is being climbed, come with me on the $BTC bull market bus. We are still on struggle street , but the moon ain’t far away. https://t.co/PEmuG5k7dj",
3,2023-06-06 09:31:52+00:00,"China joins their BFFs The US and Japan in money printer go brrrr. Climb the wall of worry and BTFD $BTC.

Yachzee!!! https://t.co/V6S7iQ1rTA",
4,2023-06-06 00:25:20+00:00,"The market is down on some binance FUD. But regardless of the catalyst, risk mrkts r on edge cause of the TGA refill. By end of summer the mrkt will move past that and onto the lg amt of money printing humming along in the background. I have a few shitcoins to buy in the meantime https://t.co/w52QABpgvJ",
5,2023-06-05 00:53:55+00:00,Fuck yeah !,
6,2023-06-04 05:52:55+00:00,"It’s stinky fruit season. First batch of 金凤. It smells so delicious, just like when the money printer go brrrr. https://t.co/YRSdJNKJWt",
7,2023-06-03 01:37:45+00:00,".@chamath thanks for discussing my essay ""Exit Liquidity"" on your recent podcast. 

You make the most money when something goes from ""will never happen"" to ""can maybe happen"". Happy to discuss anytime.

😘😘😘😘😘",
8,2023-06-01 23:28:05+00:00,"The Fed and Treasury are using interest income paid on various facilities and debt as a new form of money printer go brrr!. $BTC ain't going down, the bull market is forming right now. ""Patience Is Beautiful"" explains the why and how.

https://t.co/wHVA42JAsl https://t.co/ib6XXQKP1S",
9,2023-06-01 04:49:13+00:00,GG,
10,2023-05-26 22:25:57+00:00,RT @PeterMcCormack: Absolute Chad @CryptoHayes finally on the pod,
11,2023-05-19 23:45:04+00:00,RT @Heimdall_17: I joined the #MiamiQuest and helped the @TaprootWizards defeat the laser-eyes. Let's do a lil magic 🧙‍♂️ https://t.co/8qdl…,['MiamiQuest']
12,2023-05-19 20:29:07+00:00,My boy is slinging ass wipes at Bitcoin Miami 2023. @wipeyourbutts https://t.co/cXz1T7p2G3,
13,2023-05-19 18:48:10+00:00,I’m coming straight from the clerb to the stage. What the fuck is up MIAMI!!!!,
14,2023-05-18 03:21:34+00:00,All those flavours and you choose to be SALTY!,
15,2023-05-17 12:22:15+00:00,RT @MaelstromFund: Come meet @CryptoHayes and @akshat_hk @ @token2049 Singapore.,
16,2023-05-09 23:45:11+00:00,"My substack page is now live. Please move from @Medium who arbitrarily censors my writing. Links below to the latest essay ""The Denominator"" and the general page below.

https://t.co/cIZdWqnsUq - article
https://t.co/sCbyN9VXbT - homepage",
