,Datetime,Text,Hashtags
0,2023-05-10 19:19:14+00:00,Congratulations to @vegaprotocol on their deployment of Alpha Mainnet!,
1,2023-04-05 22:27:47+00:00,"8/ Thank you @IanAllison123 @CoinDesk for the great coverage!
https://t.co/pNzptORcbH",
2,2023-04-05 22:27:47+00:00,"8/ Thank you @IanAllison123 @CoinDesk for the great coverage!
https://t.co/pNzptORcbH",
3,2023-04-04 17:02:25+00:00,"From our opening Summit presentation, capturing the spirit of today: https://t.co/E1thmPTbFs",
4,2023-03-15 23:16:38+00:00,A Behavioral Economics approach for reducing MEV by our Head of Cryptoeconomics @stephensonhmatt,
5,2023-03-13 23:07:28+00:00,Always here to help 🤝,
6,2023-03-04 00:27:38+00:00,RT @FranklinBi: https://t.co/Si4iLSr9Ce,
7,2023-03-03 21:30:51+00:00,#PanteraHouse,['PanteraHouse']
8,2023-03-02 23:28:24+00:00,RT @FranklinBi: https://t.co/HdQia3maqC,
9,2023-03-02 21:38:03+00:00,RT @JonathanGieg: 👀 @PanteraCapital https://t.co/ZCG9UYsxJL,
10,2023-02-24 16:42:42+00:00,RT @veradittakit: Crypto gaming with traction!,
11,2023-02-22 17:15:00+00:00,RT @veradittakit: Two of my favorite portfolio companies!,
12,2023-02-20 19:43:47+00:00,RT @veradittakit: These guys never cease to amaze me,
13,2023-02-01 16:19:58+00:00,RT @_will_reid: And if you missed it you can check out the recording! (DeFi alpha at 15:40 🚀),
14,2023-01-27 18:36:09+00:00,RT @FranklinBi: 👉🏼 https://t.co/JcAmRJhbPf,
15,2023-01-26 20:19:13+00:00,RT @veradittakit: Check out the full article here:,
16,2023-01-24 18:44:54+00:00,RT @FranklinBi: this month's issue is 🔥,
17,2023-01-23 19:15:35+00:00,RT @veradittakit: Strong start to the year!,
18,2023-01-10 21:08:48+00:00,RT @veradittakit: 🚀,
19,2023-01-10 17:21:13+00:00,RT @nathanlallman: 17/ Thanks @MuyaoShen for helping to tell our story: https://t.co/TZQ9fyGUCk,
