,Datetime,Text,Hashtags
0,2023-06-22 22:12:37+00:00,"@dstprNFT @LucaNetz @pudgypenguins #1, there is no second best",
1,2023-06-22 22:11:27+00:00,@pengu4396 @LucaNetz Imagine how much more they’d sell. Far more appealing to the avg consumer.,
2,2023-06-22 21:10:32+00:00,@SatoshiFlipper https://t.co/KLSTRfMtAa,
3,2023-06-22 21:10:08+00:00,@SatoshiFlipper https://t.co/gmstmWp9k2,
4,2023-06-22 20:13:15+00:00,@AWice lmao lfg,
5,2023-06-22 19:07:50+00:00,@beranewsnetwork Think market structure invalidated fren,
6,2023-06-22 19:07:34+00:00,@beranewsnetwork And these new lows. Are they in the room with us now? https://t.co/ACtXZtB87O,
7,2023-06-22 18:26:51+00:00,@HighStakesCap Wasn’t making fun of him. Please show me where I did.,
8,2023-06-22 16:10:16+00:00,@icebergy_ @tervoooo and have heard of or seen many similar stories posted here in the last year,
9,2023-06-22 16:00:22+00:00,@eth_ben You guys should learn to get along considering you’ll likely live together soon,
10,2023-06-22 14:25:14+00:00,@LordBogdanoff They want to be imprisoned so bad,
11,2023-06-22 13:36:34+00:00,@LSDinmycoffee gg,
12,2023-06-22 13:22:57+00:00,@inversebrah imagine people thought smolting and peng were feds haha,
13,2023-06-22 03:00:20+00:00,@LucaNetz We check them every day. Love them. All so relatable,
14,2023-06-22 02:54:31+00:00,gm https://t.co/jkE947ZJ2K,
15,2023-06-21 21:06:42+00:00,@basedkarbon This isn’t about bull or bear. But what happens with regs + instis,
16,2023-06-21 21:03:27+00:00,@ScruFFuR Yes,
17,2023-06-21 20:16:44+00:00,@permabearXBT https://t.co/B1ViGAmTkI,
18,2023-06-21 17:41:45+00:00,@YDFbull Time is an important aspect of how price action develops when thinking of strong moves,
19,2023-06-21 16:31:41+00:00,$BTC https://t.co/Dkyv6ZySmw,
20,2023-06-21 17:16:54+00:00,@Im100XReal Ive literally given like 5 updates lol,
21,2023-06-21 16:29:34+00:00,$ETH 1791 into teleportation https://t.co/51F8CVq4ED,
22,2023-06-21 15:49:15+00:00,@Sleepin04927004 it's good thing I admit my losses then (even losing streaks and or be transparent),
23,2023-06-21 15:39:49+00:00,HOW lmao,
24,2023-06-21 14:59:27+00:00,@enjooooyer bc overloaded,
25,2023-06-21 14:56:53+00:00,@FastFreeEcoNano lol level 23 sorcerer,
26,2023-06-21 13:25:34+00:00,@MacnBTC me seeing this tweet https://t.co/1WDYYtMD7v,
27,2023-06-20 22:42:05+00:00,$ETH 1791* https://t.co/7xRpkbIft4,
28,2023-06-20 22:36:11+00:00,"All trading fees, yield, kyc/aml compliance etc under their roof",
29,2023-06-20 21:44:41+00:00,"@cookiesncrypto the prev range was below 26.6k 

(hence why it was the previous range)",
30,2023-06-20 16:21:14+00:00,"27.5k next imo for $BTC

nice flip and retest on this on ltf's https://t.co/FyoAzepR63",
31,2023-06-20 20:36:51+00:00,"$BTC 

wat mean https://t.co/Tgt4IvgycP",
32,2023-06-20 19:29:47+00:00,Wen Blackrock buy Silk Road $btc from US Gov?,
33,2023-06-20 18:24:31+00:00,Alt / $btc pairs https://t.co/TlucTLEQxo,
34,2023-06-20 16:23:34+00:00,@noleslife please read the post lol,
35,2023-06-20 16:22:24+00:00,back into prev range I think you can cut any longs,
36,2023-06-20 16:00:46+00:00,@crypto_whaley No.,
37,2023-06-20 15:28:39+00:00,Ahhhhh I’m influencing,
38,2023-06-20 14:24:24+00:00,@trader_koala @Trader_XO That’s wild. I probably made more off using it than any other chart,
39,2023-06-20 12:28:50+00:00,$BTC dom just crossed 50% https://t.co/gkOUZ5FaBg,
40,2023-06-20 13:30:39+00:00,@coosejordan @Trader_XO have you seen alts lol?,
41,2023-06-20 13:16:39+00:00,"You will absolutely love trading against Citadel 

WAGMI",
42,2023-06-20 12:25:27+00:00,@HoudiniSwap crazy to me how many people want to advertise every wallet they own lol,
43,2023-06-20 02:09:50+00:00,Oke https://t.co/4dU4YwCLva,
44,2023-06-19 18:47:50+00:00,Want to buy animal shelter,
45,2023-06-19 18:00:18+00:00,@zachxbt Take some of that money and get yourself some good security,
46,2023-06-19 17:57:18+00:00,@Budhalight Is close to 100m not a lot?,
47,2023-06-19 15:23:13+00:00,If anyone of you want me to do motivational speeches at a university hit me up,
48,2023-06-19 13:28:05+00:00,"@Trader_XO They’ve DCA’d for 2 years now but were fully deployed a year ago 😂 

Infinite $ trick",
49,2023-06-18 20:31:25+00:00,@geldwolf100 where are the others?,
50,2023-06-18 19:28:15+00:00,$BTC has some equal highs https://t.co/fjI9HlbGhL,
51,2023-06-18 20:10:15+00:00,"@geldwolf100 and what of the cme gap 5k down? lol 

Im not seeing any others atm",
52,2023-06-18 19:28:15+00:00,$BTC has some equal highs https://t.co/fjI9HlbGhL,
53,2023-06-18 19:45:22+00:00,@Pbizzness So why does fidelity offer eth? Please explain,
54,2023-06-18 19:36:10+00:00,@BigWickVic meme patterns,
55,2023-06-18 15:10:41+00:00,@Trader_XO gg https://t.co/gbZqgAFP8f,
56,2023-06-18 14:33:46+00:00,@HANKEBROTHERS_ Most the bank funds end up in sweep account earning 4.75%,
57,2023-06-18 14:33:11+00:00,@HANKEBROTHERS_ No taxes where I live,
58,2023-06-18 13:57:30+00:00,@Cruzletsgo Think it's great to be a grand father :),
59,2023-06-16 21:38:36+00:00,@Ninjascalp https://t.co/krjr0PPZ1U,
60,2023-06-16 19:59:01+00:00,@TheDukeMA It did. That box is over a year old.,
