,Datetime,Text,Hashtags
0,2021-10-31 00:54:58+00:00,"Not on holiday yet so I'll allow myself one more thread...

The markets are crazy! NFT are just jpegs! Dog coins! Cat coins! Tesla ! GameStop! 

Everyone is going to get burned! Don't they realize about discounted cash flows?!!! These people are ruining everything! Green energy?!",
1,2023-06-19 23:26:42+00:00,"You might well enjoy this...now on YouTube.

Raoul Pal: The High-Priestess of Memes and Dickbutts w/ Meltem Demirors (best title ever) @Melt_Dem 

 https://t.co/33hjZZfGIu via @YouTube",
2,2023-06-19 23:17:15+00:00,More sensible policy from the UK...,
3,2023-06-19 23:08:10+00:00,@ChillTRD Thanks! Great thread,
4,2023-06-18 18:00:15+00:00,"RT @starveup: The Everything Code is a page turner and the perfect read on Father’s Day. All I can say is wow, Great job @RaoulGMI! https:/…",
5,2023-06-18 17:45:28+00:00,"RT @Crypto_Cpt_Nemo: #MinskyMoment #Economy
Maybe the most important discussion of all recent financial times.  A must listen!  Thank you @…","['MinskyMoment', 'Economy']"
6,2023-06-17 22:38:58+00:00,RT @taillarb: @QeYcc @RaoulGMI @anthony_h_h If you have Pro Macro you have some of it already. https://t.co/vvKisx9Y5X,
7,2023-06-17 22:01:13+00:00,"""The Everything Code"" is the result of 18 years of work in GMI (my institutional research service). I am now releasing it in 3 parts for Real Vision Pro Macro subs. 

It not only explains why things are what they are but attempts to forecast potential prices 3 yrs into the… https://t.co/yHIbAsfG0p",
8,2023-06-17 01:01:01+00:00,RT @RealVision: The new Real Vision is coming... Summer 23 https://t.co/gxjlcVvGlp,
9,2023-06-16 23:09:49+00:00,"RT @lvcidia: N2 GIVEAWAY// 

Shipping for the first Finery N2 drop has started, and we've added a few extra surprises in each box. 🔥

To wi…",
10,2023-06-16 16:22:40+00:00,"RT @elaineyyly: I found the mfers responsible for cc0 summer! 
@0xSThompson and @matthewvarnell are joining

Access available for:
@TheRVCo…",
11,2023-06-15 14:18:05+00:00,"RT @TheRVCollective: We're featuring some of the top communities in the NFT space! 

Enjoy this mini doc where we spoke to some mfers still…",
12,2023-06-11 23:40:46+00:00,As I’ve been saying… the UK is the big potential winner in all of this,
13,2023-06-09 21:53:54+00:00,"Someone reminded me of this… the best thread maybe in the history of fintwit and holds many many lessons for all of us. Also, is one of the funniest finance threads ever. Enjoy your weekend!",
14,2023-06-09 13:58:42+00:00,"RT @RaoulGMI: [Radio Raoul]

There are many, many near-perfect songs in this amazing world, of all different and diverse genres.

This is o…",
15,2023-06-09 13:38:04+00:00,"This video has the best title ever..

“The High-Priestess of Memes and Dickbutts”

Enjoy. A truly fabulous and thought-provoking conversation, just don’t “midcurve” it. @Melt_Dem",
16,2023-06-08 11:57:28+00:00,Might keep this going as a thread every day if people enjoy them,
17,2023-06-08 11:56:45+00:00,"RT @RaoulGMI: There are many, many near-perfect songs in this amazing world, of all different and diverse genres.

This is one of them (#2)…",
18,2023-06-06 14:37:41+00:00,"RT @scottmelker: The #CryptoTownHall is live and approaching 20,000 live listeners. Absolutely epic.  https://t.co/UemSxfrTva",['CryptoTownHall']
19,2023-06-04 19:35:46+00:00,"Why do equities continue to scream higher on every negative data point? Because the recession we've been calling for was largely priced in back in October.

In so many words, we're climbing the wall of worry... 

Here's the top 5 charts @BittelJulien and I are watching at GMI… https://t.co/UXL9NoKdk2",
20,2023-06-04 16:39:03+00:00,"RT @DiMartinoBooth: IMPORTANT!!

@biancoresearch TWITTER ACCOUNT HAS BEEN HACKED. BELIEVE IT OR NOT, HE'S HITTING A WALL GETTING @Twitter S…",
21,2023-06-02 22:08:05+00:00,"This was a truly EPIC daily briefing. @42MacroWeather brought the class, deep insights and the Rosé and I bought The Everything Code and Rosé Cava from Spain.  Amazing discussion... enjoy.",
22,2023-06-01 21:18:22+00:00,"RT @FTI_DA: Are we moving toward a “phygital” world, wherein the physical and digital world are almost indistinguishable? Sandy Kaul, Globa…",
23,2023-06-01 20:33:16+00:00,Gmoney is in the house! Fabulous conversation about just about everything. He is such a great ambassador for the Web3 space and a lovely guy too. Out tomorrow @gmoneyNFT,
