,Datetime,Text,Hashtags
0,2023-06-21 16:01:55+00:00,Stemcellasaurus! @drapervc #startup bringing back the wooly mammoth! https://t.co/p4tFMzGO87,['startup']
1,2023-06-16 15:36:31+00:00,RT @_cweedbrook: Thanks @davidcowan for your time!,
2,2023-06-12 17:23:38+00:00,"Watch this!
#bitcoin #freedom #trust","['bitcoin', 'freedom', 'trust']"
3,2023-06-08 20:25:56+00:00,Looking forward to being on SiriusXM.,
4,2023-06-08 18:16:29+00:00,Fortune interview. https://t.co/s51XxR4LpY #bitcoin #freedom #trust,"['bitcoin', 'freedom', 'trust']"
5,2023-05-31 23:50:32+00:00,"RT @Nakamoto1: Minting is live 🚀🌙
Godspeed
https://t.co/XbeaeQ5Tak https://t.co/WxieJkH0v8",
6,2023-05-29 21:54:29+00:00,I pledged a paid subscription to Things I Write. ✍🏽 https://t.co/xz5gLsVjDy,
7,2023-05-17 03:19:05+00:00,These guys are going to lift humanity up through AI for expert knowledge. #AI,['AI']
8,2023-05-13 17:49:07+00:00,My daughter is a rock star. Vote for her.,
9,2023-05-04 01:52:19+00:00,"Did anyone say, “Bitcoin!” #freedom #trust #bitcoin #fiduciary https://t.co/McN09Yxy6m","['freedom', 'trust', 'bitcoin', 'fiduciary']"
10,2023-04-06 23:29:34+00:00,Breaks my heart to sell it. #beachfront #hermosabeach  https://t.co/Qad7TcL6t3,"['beachfront', 'hermosabeach']"
11,2023-04-03 02:00:35+00:00,This will be a powerful report. Please submit if you moved. #freedom #trust,"['freedom', 'trust']"
12,2023-03-24 18:27:19+00:00,Some tips for business cash management post SVB. https://t.co/dVEw0EJJyZ #bitcoin #trust #freedom,"['bitcoin', 'trust', 'freedom']"
13,2023-03-16 23:56:47+00:00,I am looking to fund startups that are not well understood. @drapervc,
14,2023-03-16 23:52:04+00:00,I am looking for companies that want to use a #DAO to transform government in some way. @drapervc,['DAO']
15,2023-03-11 18:41:44+00:00,RT @crazyguy7788: @TimDraper Nice wake up call sir 👍. CFO’s wake 🆙 !,
16,2023-03-09 21:51:41+00:00,Looks like #Bitcoin is the safest money out there. #trust #freedom,"['Bitcoin', 'trust', 'freedom']"
