,Datetime,Text,Hashtags
0,2023-06-22 01:37:15+00:00,👏👏👏,
1,2023-06-18 21:03:55+00:00,.@haydenzadams is a great builder,
2,2023-06-16 03:55:31+00:00,Actually a pretty good song too.,
3,2023-06-15 21:32:49+00:00,🧐,
4,2023-06-15 18:13:03+00:00,"Congrats to @joycesticks and the whole @researchhub team!

Great progress on accelerating science",
5,2023-06-15 17:28:12+00:00,👏👏👏,
6,2023-06-12 22:20:03+00:00,@TopoGigio_sol @coinbase Really appreciate the support! It means a lot,
7,2023-06-12 17:04:13+00:00,RT @cameron: A 10 year-long registration process with no end in sight!,
8,2023-06-10 21:51:01+00:00,Adds important detail that was edited out of the shorter version,
9,2023-06-10 21:49:43+00:00,"Full WSJ interview on YouTube

https://t.co/yIF3dGI7oN",
10,2023-06-09 20:02:11+00:00,🇺🇸,
11,2023-06-07 22:22:43+00:00,"Smart take from @RitchieTorres 

https://t.co/9RsWXgPUQX",
12,2023-06-07 19:15:38+00:00,Potential proxy for crypto utility as well,
13,2023-06-07 01:31:19+00:00,https://t.co/vJIZCyAgDU,
14,2023-06-06 21:38:34+00:00,"RT @SenLummis: My statement on the SEC suing Coinbase, inc. https://t.co/EgRIxrIcjj",
15,2023-06-06 19:02:20+00:00,RT @coinbase: The numbers don't lie. https://t.co/lec4wkp6RO,
16,2023-06-06 17:05:24+00:00,https://t.co/SLVDOK2J7d,
17,2023-06-02 04:48:16+00:00,RT @tobi: OH: The GPU shortage is basically irl version of „you must construct additional pylons“,
18,2023-05-30 19:10:45+00:00,🎯,
19,2023-05-30 15:15:55+00:00,"Great point

Same for non-profits",
20,2023-05-27 06:35:06+00:00,"Wow, nice trip down memory lane 🙏",
21,2023-05-25 18:58:51+00:00,Well said,
22,2023-05-24 19:10:31+00:00,"Early days.

Once layer 2 really gets going, it will be like going from dial up to broadband.",
23,2023-05-24 03:26:41+00:00,True,
24,2023-05-20 17:06:21+00:00,RT @tobi: 8 years public today. Went OK I think.,
25,2023-05-20 17:04:23+00:00,"On friendship 🎯

https://t.co/mivNnquXYC",
26,2023-05-18 23:05:27+00:00,RT @dwr: Consumer-friendly apps drive onchain actions. https://t.co/5FWb76wm2c,
27,2023-05-18 23:03:32+00:00,Yes - we have good custodial and self-custodial apps.,
28,2023-05-18 03:05:39+00:00,RT @scottshapiro: Improving trading for people around the world https://t.co/Nq6IsSbegh,
29,2023-05-16 06:54:33+00:00,https://t.co/trCbmCu3Kp,
30,2023-05-11 20:58:34+00:00,@mdudas @coinbase thank you! 💗,
31,2023-05-11 15:49:23+00:00,"RT @eladgil: New Druckenmiller (with slides):

https://t.co/SRupbxhG9V",
32,2023-05-08 13:26:11+00:00,https://t.co/2mk12auMye,
33,2023-05-08 13:25:49+00:00,Thank you for hosting me @DIFC and for the great interview @ManusCranny,
34,2023-05-03 19:11:48+00:00,Wow - well said,
35,2023-05-03 19:04:10+00:00,https://t.co/E6dAUS78ES,
36,2023-05-02 18:14:23+00:00,Great progress - lots of small details add up,
37,2023-04-28 04:41:06+00:00,The most recent episode of @BanklessHQ with @iampaulgrewal is 🔥,
38,2023-04-27 19:23:50+00:00,4/ And mint your Stand with Crypto shield NFT. https://t.co/4T0OWbpCCf,
39,2023-04-27 18:56:06+00:00,"Now up to 56,300 minted 👀

https://t.co/4T0OWbpCCf",
40,2023-04-26 01:03:08+00:00,Wow,
41,2023-04-25 00:59:00+00:00,"Read more here

https://t.co/QgVWzaNVRs",
42,2023-04-25 00:58:47+00:00,Important development,
43,2023-04-25 00:52:35+00:00,I just minted Stand with Crypto https://t.co/4T0OWbpCCf,
44,2023-04-20 14:34:47+00:00,It’s a great question,
45,2023-04-19 05:48:51+00:00,"RT @BanklessHQ: We're in the second movie now

The Regulators Strike Back https://t.co/iGwVn3THa6",
46,2023-04-18 17:59:30+00:00,"FT today

https://t.co/hciDnJiykY https://t.co/W9S7mbAw4A",
47,2023-04-17 17:59:13+00:00,More here: https://t.co/IRCNiyNiyb,
48,2023-04-17 07:14:46+00:00,Follow @newlimit and check out https://t.co/Y1UaKiPl0S to apply or refer candidates,
49,2023-04-16 19:48:49+00:00,Interesting,
50,2023-04-14 00:11:49+00:00,Going live in 20 min! https://t.co/nsTHnPSrMH,
51,2023-04-08 23:31:36+00:00,@ChikaUwazie Let us take a look to see if we can fix this - thank you for mentioning it!,
