,Datetime,Text,Hashtags
0,2022-05-21 07:59:13+00:00,RT @coinspotau: What new coin/token are you watching this weekend? 👀,
1,2022-05-13 07:01:04+00:00,"Things you must aware of about Terra's remarkable event

From 9th to 13th May 2022

👇 See more below",
2,2022-05-04 05:16:27+00:00,Have a look at our details review of @coinspotau in 2022. Leave your thoughts below!,
3,2022-04-25 02:30:10+00:00,"Who feel related can comment below 🤣🤣
#cryptomeme https://t.co/fDKIlvlZ7a",['cryptomeme']
4,2022-04-20 02:00:24+00:00,"What is your choice 🤔 

Comment below 👇 https://t.co/vQdG1jPaKS",
5,2022-04-20 00:00:54+00:00,"SUCH A DILEMMA 🤣 
Which one will you choose? Comment below 👇 https://t.co/eL424S0lro",
6,2022-04-17 03:39:13+00:00,"Have a nice weekend 🤣
#cryptomeme https://t.co/aWTFRnOnvS",['cryptomeme']
7,2022-04-15 23:00:05+00:00,Drop your favorite coin below 👇 https://t.co/eAf94f09cy,
8,2022-04-13 07:00:01+00:00,"[Crypto got me thinking]
You can't choose the wrong altcoin if you invest in all of them 🤔",
9,2022-04-13 04:32:11+00:00,⚡️Check out the top 5 biggest companies' Bitcoin portfolio ⚡️ https://t.co/xHEITzhjIt,
10,2022-04-13 01:25:12+00:00,"Breath guys, breath 🥶
#cryptomeme #hodltodie https://t.co/Cw9agg5v59","['cryptomeme', 'hodltodie']"
11,2022-04-12 07:23:07+00:00,"Give this man a name 🤣
#elonmusk #dogecoin https://t.co/euuH44a3Jn","['elonmusk', 'dogecoin']"
12,2022-04-12 05:00:00+00:00,Have a good dinner traders 🤣 https://t.co/3ZQv2PhyYW,
