,Datetime,Text,Hashtags
0,2023-06-22 12:04:42+00:00,@CreditAgricole @bancosantander Source: https://t.co/ROxevlwlx0,
1,2023-06-22 11:56:59+00:00,Source: https://t.co/ZSoySy261Z,
2,2023-06-21 14:46:03+00:00,Source: https://t.co/BcOsrBgf5m,
3,2023-06-21 14:42:01+00:00,Source: https://t.co/EfVKB7yub2,
4,2023-06-21 12:45:23+00:00,Source: https://t.co/ZZPPy7wpib,
5,2023-06-21 12:24:20+00:00,@MarleyWhite17 Fingers crossed! 🤞,
6,2023-06-21 07:29:53+00:00,#GM ☕️,['GM']
7,2023-06-20 15:16:21+00:00,"If you were to introduce one #crypto token to your friend, what would it be? 👇",['crypto']
8,2023-06-20 14:59:36+00:00,Source: https://t.co/kCoLMzRhfJ,
9,2023-06-20 08:20:05+00:00,"Rise and shine, #CryptoTwitter!✨

Which #crypto is on your buying list today?👇","['CryptoTwitter', 'crypto']"
10,2023-06-19 15:27:19+00:00,Source: https://t.co/0iL6vr4gG1,
11,2023-06-19 13:21:36+00:00,@binance Source: https://t.co/Gqxu3NSBTO,
12,2023-06-19 12:57:45+00:00,@cryptocom Source: https://t.co/khg6xMnaPf,
13,2023-06-19 07:23:36+00:00,"#GM ☕️

Did you buy any #crypto during the weekend? 👇

#CryptoTwitter #CryptoNews","['GM', 'crypto', 'CryptoTwitter', 'CryptoNews']"
14,2023-06-16 16:54:43+00:00,"What's your biggest #loss this week?👇

#CryptoNews","['loss', 'CryptoNews']"
15,2023-06-16 08:16:03+00:00,"Happy Friday, #crypto community!🥳

What's your biggest #gain this week?👇","['crypto', 'gain']"
16,2023-06-15 09:39:44+00:00,@abhisheku899 Hi 💜,
17,2023-06-14 09:43:36+00:00,Which #crypto is on your buying list today? 👀👇,['crypto']
18,2023-06-13 15:03:21+00:00,@danielabarbosa @mattzahab @Hyperledger Thank YOU💜,
19,2023-06-13 12:49:17+00:00,What's the most mind-blowing #CryptocurrencyNews that made you reconsider the future of crypto?👇,['CryptocurrencyNews']
20,2023-06-13 08:58:11+00:00,"#GM ☀️

What #crypto is on your radar today? 👀👇","['GM', 'crypto']"
21,2023-06-09 14:45:57+00:00,Source: https://t.co/Ku2hX2D1wD,
22,2023-06-09 12:58:25+00:00,Source: https://t.co/KKJBsjHPjx,
23,2023-06-09 12:45:51+00:00,@googlecloud Source: https://t.co/l0cIQb2gGX,
24,2023-06-08 14:17:32+00:00,Source: https://t.co/24L5NMiRjr,
25,2023-06-08 12:06:04+00:00,Source: https://t.co/YJn3Yg2OoB,
26,2023-06-08 11:53:24+00:00,@instagram @YouTube @tiktok_us Source: https://t.co/ac5Ffv1gHO,
27,2023-06-07 21:05:02+00:00,"🕰️ Unraveling the Crypto Crisis: Timeline of Major Incidents.

#CryptoNews

https://t.co/CyleGikAPR",['CryptoNews']
28,2023-06-07 16:13:05+00:00,@MintSquareNFT Source: https://t.co/Kj0JRBNCWS,
29,2023-06-07 15:55:13+00:00,Source: https://t.co/7OOsnmaBY4,
30,2023-06-06 11:38:59+00:00,@binance @okx Source: https://t.co/dbZfq7LyGg,
31,2023-06-05 14:50:45+00:00,What's the most recent #memecoin you bought? 🧐,['memecoin']
32,2023-06-05 14:41:29+00:00,@DemoxLabs @AleoHQ Source: https://t.co/7HFkhQ1Zfo,
33,2023-06-05 14:33:07+00:00,@Cardano Source: https://t.co/rQw3SoNxNE,
34,2023-06-05 14:11:26+00:00,@jpmorgan Source: https://t.co/hHMzxbgzkh,
35,2023-06-05 07:48:04+00:00,#GM☀️,['GM']
36,2023-06-02 14:34:52+00:00,Source: https://t.co/I292kLxkBr,
37,2023-06-01 14:45:25+00:00,@cryptocom Source: https://t.co/yxNotG73Jc,
38,2023-06-01 14:24:34+00:00,Source: https://t.co/uE3AVWMRPI,
39,2023-05-31 15:20:15+00:00,Source: https://t.co/ILl7NA7jR2,
40,2023-05-31 15:13:30+00:00,@Tether_to Source: https://t.co/5WfvgMM9yc,
41,2023-05-31 07:28:09+00:00,#Bitcoin 🚀,['Bitcoin']
42,2023-05-30 13:50:21+00:00,@coinexcom Source: https://t.co/I9KnL09GLs,
43,2023-05-30 13:36:21+00:00,Source: https://t.co/W0RcbDbyxV,
44,2023-05-29 15:34:00+00:00,Source: https://t.co/2ABmh9vznf,
45,2023-05-29 14:11:50+00:00,@Blocktradecom Source: https://t.co/XJxqFcpfVc,
46,2023-05-26 12:45:31+00:00,Source: https://t.co/1bQ36DzTc7,
47,2023-05-25 17:04:52+00:00,"@greenor83912289 Thanks for reaching out! Please, check your DM 🥰",
48,2023-05-25 13:32:41+00:00,@SHAQ @solana Source: https://t.co/SGWAECFadT,
49,2023-05-25 13:21:00+00:00,@Bitpanda_global @coinbase Source: https://t.co/vMii4qZuhC,
50,2023-05-25 13:12:04+00:00,@bitfinex @orionx Source: https://t.co/10HGENjKdF,
51,2023-05-23 13:29:21+00:00,@Ledger @_pgauthier Source: https://t.co/6AB9zV3KNd,
52,2023-05-23 13:10:18+00:00,@okx Source: https://t.co/OJxbcfxIif,
53,2023-05-19 14:12:22+00:00,@bankofengland @RevolutApp Source: https://t.co/46tshtyhZN,
54,2023-05-19 13:49:49+00:00,Source: https://t.co/ef9C3Jm0j2,
55,2023-05-18 14:26:53+00:00,@CoinbaseCloud @chainlink Source: https://t.co/LT7FfI3qvK,
56,2023-05-18 14:14:10+00:00,@binance @tradingview Source: https://t.co/lv3WZp34VG,
57,2023-05-16 18:01:38+00:00,"🙉 What makes @MOOKYcoin the best investment of 2023? Let's find out 👇

https://t.co/RdgkkUTS1d",
58,2023-05-16 12:45:00+00:00,@BlockFi Source: https://t.co/kNJwQkU1aJ,
59,2023-05-16 11:57:38+00:00,@coinbase Source: https://t.co/Ql97Zzl39b,
60,2023-05-16 11:27:15+00:00,@BlockFi Source: https://t.co/oQYEABnMNU,
61,2023-05-15 15:11:10+00:00,@Samsung Source: https://t.co/EheSgw7ZQU,
