,Datetime,Text,Hashtags
0,2023-06-22 18:05:47+00:00,@SajawalOnTech @BNBCHAIN @BinancePk @binance @Eljaboom @Nauman_Angel @PancakeSwap cool,
1,2023-06-22 17:16:10+00:00,@binance Didn't really need AI for this. I have the original picture. 😂,
2,2023-06-22 16:27:55+00:00,@MrTastycalls Can't comment on that. The world is your oyster.,
3,2023-06-22 16:24:56+00:00,"TradFi, who would have thought? 😂",
4,2023-06-22 14:58:45+00:00,"The color fits him, I think. #Binance",['Binance']
5,2023-06-22 14:56:35+00:00,@NeilJacobs 😂,
6,2023-06-21 18:32:08+00:00,@JeffKirdeikis 🙏,
7,2023-06-21 17:45:43+00:00,@ki_young_ju TUSD is 0 fee. 😂,
8,2023-06-21 16:28:14+00:00,"👏

https://t.co/7YCX0HQlQt",
9,2023-06-21 15:21:16+00:00,1500+ people #Binance meetup in Kazakhstan🇰🇿 now. https://t.co/sEjpE6KrCQ,['Binance']
10,2023-06-20 12:46:42+00:00,Playing by the Rules: The Crypto Compliance Landscape Today | Binance Blog https://t.co/eyNaSfYeVY,
11,2023-06-20 12:28:43+00:00,Deutsche Bank applies for digital asset license. 🤷‍♂️,
12,2023-06-20 07:41:47+00:00,Continue to invest in the industry.,
13,2023-06-20 07:29:39+00:00,"Slowly, but we keep building...",
14,2023-06-19 20:41:12+00:00,@Capo_WSB @Ashcryptoreal None.,
15,2023-06-19 20:35:34+00:00,"If you are using https://t.co/ukvU1dlpOt, you are not interacting with the scammer entity.",
16,2023-06-19 13:39:38+00:00,@ItsEasypop @richie_fallclis @DNB_NL 😂,
17,2023-06-19 08:16:40+00:00,@FTPager @CirrusNFT No idea...,
18,2023-06-19 07:24:05+00:00,@Ahmad86823960 @freesignal0 😉,
19,2023-06-19 05:50:17+00:00,@richie_fallclis @binance 🙏,
20,2023-06-18 19:29:36+00:00,@CryptoHitmann 🙏,
21,2023-06-18 16:28:11+00:00,Happy Father's Day! https://t.co/gDgqkIgUXF,
22,2023-06-18 15:58:45+00:00,"@Crypto4bailout At least, he is constantly posting about Binance... 😂",
23,2023-06-17 17:52:02+00:00,@zachxbt #Binance  will contribute $50k. Keep up the fight. Keep the industry transparent. 💪,['Binance']
24,2023-06-17 17:49:40+00:00,@Crypto__Diva It’s our time.,
25,2023-06-17 08:10:47+00:00,@ItsEasypop @zachxbt There are many good forces in the community.,
26,2023-06-16 20:12:54+00:00,#Binance https://t.co/WIPweIGZP6,['Binance']
27,2023-06-16 16:35:12+00:00,@DeepSpaceSimian Culture and customs are different in different places.,
28,2023-06-16 11:55:03+00:00,@backerfigth @binance 🙏,
29,2023-06-16 08:31:26+00:00,Currently at Layer 2. How many layers do you need?,
30,2023-06-15 09:43:46+00:00,@joonian Good to see.,
31,2023-06-15 07:31:00+00:00,"@BigDickBull69 Mindset, and mindshare (what you spend brain cycles thinking about) is everything.",
32,2023-06-15 07:30:01+00:00,@RohanJT @binance Let's just get you the merch... Thanks for all the support! 🙏😂,
33,2023-06-14 15:34:30+00:00,RT @WeAreMessi: 😍😎 https://t.co/RNN7Irg1qh,
34,2023-06-13 22:00:45+00:00,@EthereanMaximus Maybe they are shorting...  who knows.😂,
35,2023-06-13 21:27:21+00:00,@52kskew 4. @Binance have not sold BTC or BNB. We even still have a bag of FTT.,
36,2023-06-13 19:12:17+00:00,@zombyyyNFT Thanks for the feedback earlier.,
37,2023-06-13 13:23:53+00:00,@haileyxnine @binance Thank you. Really appreciate the feedback. Forwarded to our team. 🙏,
38,2023-06-13 13:22:59+00:00,@haileyxnine @binance Careful what you wish for. 😂,
