,Datetime,Text,Hashtags
0,2023-06-22 22:10:07+00:00,"@lexfridman Let’s go full MMA,"
1,2023-06-22 22:07:17+00:00,@mayemusk 😂,
2,2023-06-22 16:45:51+00:00,RT @SpaceX: Liftoff! https://t.co/z3Gdy7aiqp,
3,2023-06-22 16:44:36+00:00,@EvaVlaar !,
4,2023-06-22 04:08:16+00:00,@westcoastbill 😂,
5,2023-06-22 03:42:37+00:00,@john https://t.co/WfnaclDY9E,
6,2023-06-22 03:34:22+00:00,@WholeMarsBlog And much more than that in cumulative inference compute in vehicle,
7,2023-06-22 03:28:36+00:00,@ingelramdecoucy 🤣,
8,2023-06-22 02:51:37+00:00,@stevenmarkryan The most entertaining outcome is the most likely,
9,2023-06-22 02:27:28+00:00,"@vizurantvis @alexeheath Yup, that’s me 💯",
10,2023-06-22 02:19:42+00:00,@alexeheath Vegas Octagon,
11,2023-06-22 02:20:09+00:00,@alexeheath 🙏,
12,2023-06-22 02:12:47+00:00,@WholeMarsBlog So many,
13,2023-06-22 02:11:33+00:00,@unusual_whales This would be hilarious 🤣,
14,2023-06-22 02:07:50+00:00,@KettlebellLife Nice,
15,2023-06-22 02:06:35+00:00,@imPenny2x 💯,
16,2023-06-22 02:05:31+00:00,@nowteslafy @Tesla_AI It has been online &amp; running useful tasks for a few months,
17,2023-06-22 02:04:46+00:00,"@dblcapcrimpin @Tesla_AI Ah yes, that is coming. We prioritize safety before convenience.",
18,2023-06-22 01:59:27+00:00,"@imPenny2x I almost never work out, except for picking up my kids &amp; throwing them in the air",
19,2023-06-22 01:38:45+00:00,@Kristennetten @snopes Correct,
20,2023-06-22 01:20:04+00:00,@WallStreetSilv @joerogan 🔥,
21,2023-06-22 00:58:11+00:00,"@imPenny2x If this is for real, I will do it 🔥🔥",
22,2023-06-21 23:54:13+00:00,@neontaster 😂😂,
23,2023-06-21 23:51:13+00:00,@sama Keep Summer safe,
24,2023-06-21 23:50:10+00:00,@tim_zaman Exactly,
25,2023-06-21 23:28:34+00:00,@bastard_brian 😂,
26,2023-06-21 23:20:13+00:00,@MuskUniversity 💯was just thinking that again today,
27,2023-06-21 23:19:33+00:00,@TheBabylonBee Feels that way,
28,2023-06-21 23:16:20+00:00,@TheRabbitHole84 😂,
29,2023-06-21 22:55:24+00:00,@SarahisCensored Etymology ftw,
30,2023-06-21 22:35:58+00:00,@darewecan @imPenny2x That’s my best guess,
31,2023-06-21 22:24:13+00:00,RT @Tesla_AI: And will be trained on enormous amounts of compute https://t.co/BsmG9Vse6I,
32,2023-06-21 22:23:39+00:00,RT @Tesla_AI: Tesla is building the foundation models for autonomous robots https://t.co/VUES9jU3ze,
33,2023-06-21 22:23:10+00:00,@TheRabbitHole84 🧐,
34,2023-06-21 15:34:53+00:00,@ggreenwald @FT This is probably accurate.,
35,2023-06-21 15:34:04+00:00,@SenSchumer Definitely,
36,2023-06-21 15:16:11+00:00,@JamesEsses Yes,
37,2023-06-21 15:13:12+00:00,"@TheBabylonBee In the Toy Story universe, sex toys are alive",
38,2023-06-21 15:08:01+00:00,@shellenberger 🎯,
39,2023-06-21 15:00:24+00:00,Optimus will come in many forms https://t.co/0uWDioDGzG,
40,2023-06-21 14:51:27+00:00,@jk_rowling Exactly,
41,2023-06-21 14:29:38+00:00,@snopes You can’t even run a good psy op,
42,2023-06-21 14:28:48+00:00,@micsolana Snopes is a con,
43,2023-06-21 14:27:56+00:00,@GRDecter Bizarre!,
44,2023-06-21 06:23:43+00:00,"@Timcast People have no idea how much they censor, usually in subtle ways",
45,2023-06-21 06:04:20+00:00,@lifebiomedguru Illustrates why YT needs competition,
46,2023-06-21 05:59:42+00:00,@jihadwatchRS !,
47,2023-06-21 05:58:54+00:00,@stillgray !,
48,2023-06-21 05:53:21+00:00,@growing_daniel 🔥,
49,2023-06-21 05:32:27+00:00,@stillgray !,
50,2023-06-21 05:30:02+00:00,@mysteriouskat Call yourself anything you want,
51,2023-06-21 05:06:48+00:00,@GraduatedBen The numbers don’t make sense. Something is off kilter.,
52,2023-06-21 04:56:10+00:00,@WallStreetSilv !,
53,2023-06-21 04:49:45+00:00,@Travis_in_Flint 🤣,
54,2023-06-21 04:38:05+00:00,"@CollinRugg Wow, this is terrible",
55,2023-06-21 04:34:18+00:00,@cb_doge True,
56,2023-06-21 04:17:41+00:00,@alx Zuck my 👅,
57,2023-06-21 04:15:00+00:00,@bennyjohnson Seems to be happening in more &amp; more cities,
58,2023-06-21 04:07:13+00:00,@imPenny2x It will feel like magic,
59,2023-06-21 04:01:01+00:00,@DavidMavis11 @nntaleb 😂,
60,2023-06-21 03:59:53+00:00,@teslaownersSV Yup,
61,2023-06-21 03:59:35+00:00,@VivaTech Great group of people at VivaTech!,
62,2023-06-21 03:54:23+00:00,@KoestlerLukas @CVPR @philduan Cool,
63,2023-06-21 03:51:42+00:00,@houseperu @GailAlfarATX Coming soon,
64,2023-06-21 03:50:41+00:00,@kwmarkoff26656 @MarioNawfal I’m up for a cage match if he is lol,
65,2023-06-21 03:42:40+00:00,"@Kristennetten To the computer, everything is in slow motion",
66,2023-06-21 03:31:39+00:00,Great conversation with @NarendraModi,
67,2023-06-21 03:30:07+00:00,@TuckerCarlson Raises interesting questions,
68,2023-06-21 01:59:55+00:00,@DirtyTesLa Hopefully,
69,2023-06-21 01:12:40+00:00,@alx 🤣,
70,2023-06-21 01:02:35+00:00,@WallStreetSilv !,
71,2023-06-21 00:40:43+00:00,@jamesdouma Thanks!,
72,2023-06-20 23:57:31+00:00,@EnronChairman 😂,
73,2023-06-20 23:35:04+00:00,@JonErlichman Wow,
74,2023-06-20 23:08:44+00:00,@TheBabylonBee 🤣🤣,
75,2023-06-20 23:07:53+00:00,@Teslaconomics True,
76,2023-06-20 23:03:07+00:00,@narendramodi It was an honor to meet again,
77,2023-06-20 19:29:15+00:00,@dvorahfr Elon♥️France,
78,2023-06-20 17:51:53+00:00,@alx Satire &amp; reality merge once again,
79,2023-06-20 17:49:16+00:00,@eldsjal 😂,
80,2023-06-20 17:48:35+00:00,@tegmark !!,
81,2023-06-20 17:47:59+00:00,@dvorahfr Thanks for the translation,
82,2023-06-20 13:20:25+00:00,@Tesmanian_com Cool,
83,2023-06-20 12:38:23+00:00,@Travis_in_Flint Is this accurate @CommunityNotes?,
84,2023-06-19 23:42:28+00:00,"@mcuban Ok, I will ask Tesla &amp; SpaceX to inquire further",
85,2023-06-19 22:55:53+00:00,@DavidSacks Well said,
86,2023-06-19 21:49:39+00:00,@gunsnrosesgirl3 Wow,
87,2023-06-19 20:47:27+00:00,@growing_daniel Noted,
88,2023-06-19 17:26:51+00:00,@JonErlichman 🤯,
89,2023-06-19 16:33:39+00:00,@WR4NYGov Yup,
90,2023-06-19 16:30:08+00:00,@MdBreathe Good question,
91,2023-06-19 16:02:45+00:00,@alx 🥜,
92,2023-06-19 15:51:49+00:00,@micsolana 🔥🔥,
93,2023-06-19 15:48:55+00:00,@aakashg0 Cool thread,
94,2023-06-19 06:01:20+00:00,@NotlouisCk 😂,
95,2023-06-19 05:06:18+00:00,@lndian_Bronson @Mochak123 😂,
96,2023-06-19 05:05:41+00:00,@ylecun 💯,
97,2023-06-19 05:02:43+00:00,@growing_daniel 😂,
98,2023-06-19 05:01:48+00:00,@teslaownersSV Yup,
99,2023-06-19 04:59:28+00:00,@KanekoaTheGreat @RWMaloneMD @joerogan Hmm,
100,2023-06-19 04:58:31+00:00,@WholeMarsBlog So epic,
101,2023-06-19 01:43:41+00:00,@paulg 💯,
102,2023-06-18 23:53:24+00:00,RT @SpaceX: Liftoff! https://t.co/NvRBKfsfWO,
103,2023-06-18 22:02:25+00:00,@UpdatingOnRome Same,
104,2023-06-18 17:47:29+00:00,https://t.co/8XckapiMmX,
105,2023-06-18 15:33:03+00:00,@jordanbpeterson !!,
106,2023-06-18 15:31:50+00:00,"@alex_avoigt I prefer technical interviews, but those have a smaller audience",
107,2023-06-18 15:30:22+00:00,@EndWokeness Extremely misanthropic,
108,2023-06-18 06:42:49+00:00,@WhatsupFranks @chhardman @PeterHotez @joerogan That would be interesting indeed,
109,2023-06-18 06:22:42+00:00,@ashleevance 🎯,
110,2023-06-18 05:50:47+00:00,@farzyness Any scientist who refuses to be questioned is anything but,
111,2023-06-18 05:42:03+00:00,@growing_daniel Still the most effective breath mint afaik,
112,2023-06-18 04:50:41+00:00,@TheRabbitHole84 @joerogan There is an argument that the negatives of SSRIs outweigh the positives,
113,2023-06-18 03:12:39+00:00,"@JoeBiden Please give him the password, so he can do his own tweets. Please, I’m begging you!",
114,2023-06-18 02:50:48+00:00,@dogeofficialceo 🤣,
115,2023-06-18 02:49:49+00:00,@mysteriouskat !,
116,2023-06-18 02:24:17+00:00,"@PeterHotez @annamerlan So you’re saying you endorse Vice?
https://t.co/bX3ZY5fgRh",
117,2023-06-18 02:15:23+00:00,@joerogan Maybe @PeterHotez just hates charity 🤷‍♂️,
118,2023-06-17 22:59:57+00:00,@joerogan 🔥🔥,
119,2023-06-18 02:12:52+00:00,@hannahrosewoods Magic 🪄 sword 🗡️,
120,2023-06-18 01:03:16+00:00,@KanekoaTheGreat Just coincidence,
121,2023-06-18 01:00:25+00:00,Oh hi lol https://t.co/pLxkLDu0Qs,
122,2023-06-18 00:59:26+00:00,"@ExplainThisBob This sure looks like a scam crypto account. If so, it will be suspended.",
123,2023-06-18 00:55:14+00:00,@ExplainThisBob @mysteriouskat @PeterHotez @annamerlan 🔥😂,
124,2023-06-18 00:43:03+00:00,"@PeterHotez @annamerlan Wait, Vice is still alive!?",
125,2023-06-18 00:41:26+00:00,"@farzyness Envy idea? 

I have a little envy tbh",
126,2023-06-18 00:36:22+00:00,@joerogan This platform is the PvP of social media. Other sites are like a baby with a pacifier.,
127,2023-06-18 00:07:01+00:00,@KonstantinKisin Humans love being in cults!,
128,2023-06-18 00:06:06+00:00,@alx 🤦‍♂️,
129,2023-06-18 00:04:14+00:00,@Jason Good idea. We will implement.,
130,2023-06-17 23:58:51+00:00,"@joerogan He’s afraid of a public debate, because he knows he’s wrong",
131,2023-06-17 23:15:05+00:00,@mysteriouskat The opposite of a sequitur,
132,2023-06-17 23:12:29+00:00,@cb_doge 😂,
133,2023-06-17 22:59:57+00:00,@joerogan 🔥🔥,
134,2023-06-17 22:52:10+00:00,@WhalesGuru Spamming replies with non-sequitur self-promotion will result in account suspension,
135,2023-06-17 21:47:19+00:00,Or a social media media company https://t.co/gmQL51JcTz,
136,2023-06-17 22:49:27+00:00,@cb_doge 💯,
137,2023-06-17 21:53:51+00:00,"@mysteriouskat So hypocritical! Also, why can’t it be pride 12 months a year!?",
138,2023-06-17 21:18:11+00:00,@andst7 😂,
139,2023-06-17 21:12:41+00:00,@cb_doge @TheRock 😂,
140,2023-06-17 21:09:45+00:00,@Rainmaker1973 😬,
141,2023-06-17 21:07:45+00:00,@mysteriouskat https://t.co/BjxeVSTzGx,
142,2023-06-17 20:35:36+00:00,@TheBabylonBee 😂,
143,2023-06-17 19:50:24+00:00,@SmokeAwayyy I think I played that map in Mass Effect 3,
144,2023-06-17 19:43:50+00:00,@barefooter64 @DrJBhattacharya Very true,
145,2023-06-17 19:42:04+00:00,@redtesla69 Thanks for identifying this problem. Will be fixed.,
146,2023-06-17 19:34:43+00:00,@sunoxen @TitterDaily It’s coming,
147,2023-06-17 19:34:18+00:00,@TitterDaily Exactly,
148,2023-06-17 19:15:00+00:00,@MartinViecha True,
149,2023-06-17 19:14:41+00:00,@ZubyMusic Ad-free version if you subscribe to Zuby!,
150,2023-06-17 19:10:29+00:00,@heyBarsee This is very concerning,
151,2023-06-17 18:36:18+00:00,@immasiddtweets 🤣🤣 that would definitely work for falling asleep too,
152,2023-06-17 18:29:30+00:00,@TrungTPhan True,
153,2023-06-17 18:14:47+00:00,@TheBabylonBee 😂😂,
154,2023-06-17 18:14:03+00:00,@TheBabylonBee Should be renamed National Hypocrisy Radio!,
155,2023-06-17 18:06:01+00:00,@TheBabylonBee Censorship sucks!,
156,2023-06-17 17:13:54+00:00,@imPenny2x I hope so,
157,2023-06-17 17:12:05+00:00,@TitterDaily True. So many skeletons in the closet. No one at the company knew this code existed.,
158,2023-06-17 16:10:14+00:00,@Not_the_Bee @TheBabylonBee Accurate,
159,2023-06-17 15:49:46+00:00,@TheBabylonBee @SethDillon 😂,
160,2023-06-17 15:48:59+00:00,@0xgaut 😂,
161,2023-06-17 15:21:57+00:00,@andst7 Very important!,
162,2023-06-17 15:05:46+00:00,@ProjectTXA Gaming replies to generate free advertising will result in account suspension,
163,2023-06-17 12:40:42+00:00,@lndian_Bronson 💯,
164,2023-06-17 12:26:39+00:00,@Rainmaker1973 One of the best accounts on this platform!,
165,2023-06-17 12:25:39+00:00,@rSanti97 !,
166,2023-06-17 12:16:29+00:00,@TitterDaily @VivaTech Especially in North America,
167,2023-06-17 11:18:09+00:00,@JosephJacks_ Regulatory capture is a risk,
168,2023-06-17 11:10:11+00:00,@alx Yes,
169,2023-06-17 10:54:26+00:00,@growing_daniel 🤦‍♂️,
170,2023-06-17 10:23:50+00:00,@BrianRoemmele Wow,
171,2023-06-17 10:20:29+00:00,@teslaownersSV Exactly,
172,2023-06-17 10:18:35+00:00,@Teslaconomics 😂,
173,2023-06-17 10:15:48+00:00,@SmokeAwayyy True,
174,2023-06-17 10:11:33+00:00,@BillyM2k 😂,
175,2023-06-17 10:01:45+00:00,@daanksy @dogeofficialceo 😂,
176,2023-06-16 17:06:50+00:00,Who should be President in 2032?,
177,2023-06-16 21:00:00+00:00,RT @Tesla: Produced our 10 millionth 4680 cell at Giga Texas this week! https://t.co/0x2CNoDvCR,
178,2023-06-16 20:44:50+00:00,@waitbutwhy The future will be wild,
179,2023-06-16 17:14:58+00:00,@dogeofficialceo 🤣,
180,2023-06-16 17:14:01+00:00,@teslaownersSV 🤣,
181,2023-06-16 17:03:53+00:00,@VivaTech @Cheydema @orange Exactly,
182,2023-06-16 17:03:29+00:00,@VivaTech @LOrealGroupe Pretty much,
183,2023-06-16 17:02:17+00:00,@HardcoreHistory People should definitely study more history!,
184,2023-06-16 16:22:23+00:00,RT @EmmanuelMacron: Let’s work together ! #ChooseFrance 🇫🇷 https://t.co/6R01XT44rw,['ChooseFrance']
185,2023-06-16 09:49:17+00:00,@cb_doge 😂,
186,2023-06-16 09:48:59+00:00,@g_sangiuliano Molte grazie!,
187,2023-06-16 04:33:14+00:00,@TuckerCarlson Concerning,
188,2023-06-16 04:28:06+00:00,@MattWalshBlog !!,
189,2023-06-16 04:27:30+00:00,@MattWalshBlog !!,
190,2023-06-16 04:11:17+00:00,@JamesEsses @EYnews @Wickes !!,
191,2023-06-16 04:09:52+00:00,@andrewdoyle_com !!,
192,2023-06-16 03:58:06+00:00,Amphitheatrum Flavium https://t.co/vFPDgt0Gf8,
193,2023-06-15 20:10:00+00:00,Quanto sei bella Roma! https://t.co/dXWEDQlqXQ,
194,2023-06-16 03:09:39+00:00,@StockMKTNewz Eons ago …,
195,2023-06-16 02:41:08+00:00,"@EFarraro Exactly, problems in organizational structure always manifest as problems in the product",
196,2023-06-15 21:29:12+00:00,@SenRandPaul As I was saying …,
197,2023-06-15 20:23:24+00:00,@imPenny2x Yup,
198,2023-06-15 20:10:56+00:00,@micsolana 😂,
199,2023-06-15 12:27:30+00:00,@GRDecter He is wrong,
200,2023-06-15 03:33:12+00:00,@teslaenergy @PGE4Me @HwnElectric @apsFYI Thanks!,
201,2023-06-15 03:29:33+00:00,@jordanbpeterson !,
202,2023-06-15 03:28:26+00:00,@SawyerMerritt Cool,
203,2023-06-15 02:06:05+00:00,@KTVU 💯,
204,2023-06-14 04:49:38+00:00,Bold,
205,2023-06-15 01:35:01+00:00,@charliekirk11 This is terrible,
206,2023-06-15 01:16:35+00:00,"@Rainmaker1973 Saw them firsthand on Kwaj. 

Pro tip: don’t wear coconut scented sunblock.",
207,2023-06-15 00:43:29+00:00,@America1stLegal Interesting thread,
208,2023-06-15 00:37:40+00:00,@cb_doge Not bad,
209,2023-06-15 00:24:15+00:00,“What are you thinking?” https://t.co/FgycBAl8NO,
210,2023-06-14 22:52:14+00:00,@farzyness 🎯,
211,2023-06-14 22:43:56+00:00,@patrickbetdavid Exactly,
212,2023-06-14 21:09:46+00:00,@shellenberger @nypost Interesting,
213,2023-06-14 20:00:59+00:00,@KanekoaTheGreat !,
214,2023-06-14 18:14:07+00:00,@WholeMarsBlog Phew,
215,2023-06-14 18:00:29+00:00,"@Jason They should keep striking. Fight on, comrades!",
216,2023-06-14 17:56:38+00:00,@mayemusk My namesake,
217,2023-06-14 17:55:58+00:00,@ilove_aviation Saw this in a movie once https://t.co/a3OM2wqcIe,
218,2023-06-14 17:38:38+00:00,@GRDecter Deflation is coming,
219,2023-06-14 17:34:06+00:00,"@waitbutwhy Or maybe a sponge 🤣🤣
https://t.co/rH007UmKUf",
220,2023-06-14 17:10:58+00:00,@cb_doge @CommunityNotes ftw,
221,2023-06-14 16:22:29+00:00,@Not_the_Bee The so-called fact-checkers are huge liars and incredibly biased,
222,2023-06-14 16:19:07+00:00,@PeterDiamandis What makes you so upbeat all the time?,
223,2023-06-14 16:17:36+00:00,@MAstronomers Looks still but he’s actually traveling over 17000 mph,
224,2023-06-14 16:15:36+00:00,@stillgray Those who push it should be in prison for life,
225,2023-06-14 16:09:34+00:00,@TheBabylonBee 🔥🔥🔥,
226,2023-06-14 16:07:21+00:00,@GRDecter !,
227,2023-06-14 15:37:58+00:00,@stats_feed Interesting,
228,2023-06-14 15:37:25+00:00,@fentasyl This could effectively mean state-mandated sterilization of your children,
229,2023-06-14 15:34:27+00:00,@USCapitalAccess Those airports should get more use,
230,2023-06-14 07:16:54+00:00,"RT @Tesla: Within 15 mins, you can recover up to 200 miles/275 km",
231,2023-06-14 07:14:27+00:00,@RealMacReport Hmm,
232,2023-06-14 07:08:02+00:00,@WholeMarsBlog 11.4.4 goes out end of this week,
233,2023-06-14 06:41:54+00:00,@teslaownersSV All too true,
234,2023-06-14 06:41:26+00:00,"@teslaownersSV We built the Supercharger network out of desperation, since no one else was doing it",
235,2023-06-14 06:30:43+00:00,@simongerman600 Could’ve been used to carry messages in the old days,
236,2023-06-14 06:28:59+00:00,"Once again, I’d like to offer this platform to anyone on the left. You will get equal treatment.",
237,2023-06-14 06:18:27+00:00,@SawyerMerritt They should join the NACS coalition!,
238,2023-06-14 06:08:59+00:00,@antoniogm True,
239,2023-06-14 05:47:50+00:00,@alx Lmaooo,
240,2023-06-14 05:36:08+00:00,@imPenny2x An actual bedroom or art showing a bedroom?,
241,2023-06-14 05:32:38+00:00,@DeSantisWarRoom Our kids are not fodder for the government.,
242,2023-06-14 05:29:58+00:00,"@WhiteHouse You are the government. 

They are NOT your kids.",
243,2023-06-14 04:49:38+00:00,Bold,
244,2023-06-14 04:32:03+00:00,@ZaidJilani Shocker,
245,2023-06-14 04:30:09+00:00,@Not_the_Bee Concerning,
246,2023-06-14 04:29:18+00:00,@WholeMarsBlog Now drive outside SF,
247,2023-06-14 04:26:28+00:00,@SawyerMerritt Good thing we used camo lol,
248,2023-06-14 04:25:35+00:00,@WholeMarsBlog I just watched this at 2X speed on this platform,
