,Datetime,Text,Hashtags
0,2023-06-22 20:07:05+00:00,@ThinkingUSD @yver__ @tackettzane @VentureCoinist fine with anyone as moderator!,
1,2023-06-22 18:46:46+00:00,"@Yodaskk LOL yadox we literally spent 1 months spamming ""pray"" to each other

Mashallah it worked",
2,2023-06-22 17:36:36+00:00,@Crypto_Sharif Honestly? Between 2 and 10 years depending on many factors,
3,2023-06-22 16:48:33+00:00,"RT @loomdart: loomlock: a product update
https://t.co/vzBRqaHXj2",
4,2023-06-22 13:59:13+00:00,@gainzy222 hot sauce is a cheat code,
5,2023-06-22 13:55:42+00:00,RT @luiscordovadsgn: 🤓 https://t.co/j13AIhDHco,
6,2023-06-22 12:12:30+00:00,@CryptoDonAlt @CL207 IDO? Where?? Can get tickets??,
7,2023-06-22 04:09:53+00:00,@0xtash @optimizoor Can go,
8,2023-06-22 04:06:18+00:00,@bitcoinpanda69 I will put a rusty corkscrew into your toenail,
9,2023-06-22 04:00:37+00:00,@bitcoinpanda69 Let's do it this weekend!,
10,2023-06-21 21:11:30+00:00,@CryptoDonAlt Yeah but u suck,
11,2023-06-21 13:15:12+00:00,"@SMtrades_ Fuck yeah, dm addy",
12,2023-06-21 07:33:43+00:00,@mattomattik welcome to hell https://t.co/kU5RyMPjs6,
13,2023-06-21 04:49:09+00:00,GM fellow members of an industry that we should consider quitting 🤝😍,
14,2023-06-20 21:50:48+00:00,Algod tweets need to be studied,
15,2023-06-20 21:25:16+00:00,@CryptoCronkite Ye,
16,2023-06-20 20:09:17+00:00,@mattomattik @zackvoell smokes them at what?,
17,2023-06-20 18:22:40+00:00,@0xG00gly FUCK,
18,2023-06-20 17:48:55+00:00,That feeling of working on something u know u will be the number 1 user of is truly special,
19,2023-06-20 16:59:11+00:00,Won't trap me. https://t.co/7MqS6ab5xT,
20,2023-06-20 03:33:47+00:00,@LomahCrypto LEGS OF THE FORBIDDEN ONE https://t.co/T7SMfDLT9G,
21,2023-06-20 03:32:44+00:00,@LomahCrypto HEAD OF THE FORBIDDEN ONE https://t.co/3vzeY2tQvN,
22,2023-06-20 03:31:58+00:00,@LomahCrypto TORSO OF THE FORBIDDEN ONE https://t.co/bhbi0pIPFg,
23,2023-06-20 02:07:36+00:00,@DegenSpartan bro,
24,2023-06-20 01:57:49+00:00,@0xRacerAlt i love goblins https://t.co/3dgRP5JBNT,
25,2023-06-20 01:44:47+00:00,@RedpandaLuu @DegenSpartan wat,
26,2023-06-20 00:04:55+00:00,Maggie killed NFTs,
27,2023-06-19 20:33:20+00:00,@gatsXBT @gainzy222 @hentaiavenger66 @AlamedaTrabucco I AM SO SORRY,
28,2023-06-19 19:40:36+00:00,@jonkodoteth @0xstellate Sure!,
29,2023-06-19 17:47:08+00:00,@0xtash Gn...,
30,2023-06-19 17:12:12+00:00,There will be glory. https://t.co/dQouJ1hyvl,
31,2023-06-19 11:47:37+00:00,"@dankvr @hyperfy_io @bywassies Jin

get the ak",
32,2023-06-19 11:20:43+00:00,@CryptoDonAlt THERE IS A SECOND BEST!!!!,
33,2023-06-19 11:01:14+00:00,RT @loomdart: @tackettzane @yver__ @ThinkingUSD Super down to take part in this!!,
34,2023-06-19 11:00:19+00:00,@tackettzane @yver__ @ThinkingUSD Super down to take part in this!!,
35,2023-06-18 22:14:16+00:00,What thought does ❓️ invoke in ur mind,
