,Datetime,Text,Hashtags
0,2023-06-22 12:45:59+00:00,Interesting piece by PLN Team @lavanetxyz on reliability in web3👇,
1,2023-06-21 14:18:47+00:00,@LighthouseWeb3 @SellBuybackNft 👏,
2,2023-06-20 12:26:44+00:00,👏👏,
3,2023-06-19 13:29:19+00:00,@pinatacloud 👏,
4,2023-06-14 20:31:00+00:00,"Technology should serve its users, not control its users. #opensource",['opensource']
5,2023-06-14 17:05:27+00:00,@TalentProtocol @TakeOffWeb3 👏,
6,2023-06-13 14:14:54+00:00,@opt_aut 👏,
7,2023-06-09 16:52:17+00:00,RT @TakeOffWeb3: Today we have a 💔bitter-sweet feeling and 📣 A BIG ANNOUNCEMENT!,
8,2023-06-08 20:41:59+00:00,Filecoin is not an investment contract; it is a foundational technology for the future of the Web.,
9,2023-06-06 11:24:00+00:00,We cannot fully protect what we do not fully value. #PublicGoods,['PublicGoods']
10,2023-06-02 17:35:02+00:00,"""Everything should be made a simple as possible, but no simpler."" 

- Albert Einstein",
11,2023-06-02 14:35:39+00:00,A great thread on PLN team @0xmercle👇,
12,2023-06-01 16:18:26+00:00,"5/ Intrigued? Read more here about Jonathan &amp; @glifio 👇
https://t.co/YAqQklOCRA",
13,2023-06-01 13:50:55+00:00,@discoxyz 👏,
14,2023-05-31 13:49:13+00:00,@skiffprivacy 👏👏,
15,2023-05-31 13:43:26+00:00,@TalentProtocol @TalentHouseWeb3 👏👏,
16,2023-05-30 13:35:49+00:00,👏 👏,
17,2023-05-29 13:59:07+00:00,Interesting thread on the future of AI by PLN team @H2O_data.,
18,2023-05-26 17:04:28+00:00,@OrionParrott @OrangeDAOxyz 👏🤝🍊,
19,2023-05-23 18:45:04+00:00,“No great discovery was ever made without a bold guess.” - Isaac Newton,
20,2023-05-23 15:45:23+00:00,@coingecko We've got to go with @Filecoin 👀,
21,2023-05-19 13:01:46+00:00,@polybase_xyz @calummoore 👀👏,
22,2023-05-18 19:00:18+00:00,Who deserves privacy and who doesn’t?,
23,2023-05-17 19:14:53+00:00,👏,
24,2023-05-17 19:06:23+00:00,@GPC_xyz 💯,
25,2023-05-16 16:44:48+00:00,@adil75843024122 @TalentHouseWeb3 @NFCsummit @epicweb3 @TalentProtocol 👏👏,
26,2023-05-16 16:02:12+00:00,A round up of wins from PLN companies 👇,
27,2023-05-16 15:59:49+00:00,@WHTIFIGO @BuildersWeek @NFCsummit @epicweb3 @TalentHouseWeb3 Excited to have you!,
28,2023-05-15 15:26:42+00:00,"More updates from PLN team, @hedgeyfinance. 

Learn what that means for your investors below 👇",
29,2023-05-15 15:20:48+00:00,👏👏,
30,2023-05-12 15:48:28+00:00,@discoxyz 🎉💙,
31,2023-05-12 15:24:15+00:00,👏,
32,2023-05-11 16:01:54+00:00,👏,
