,Datetime,Text,Hashtags
0,2023-06-01 20:00:49+00:00,imagine if she knew about stepn,
1,2023-05-28 03:18:26+00:00,@Baskitchbrah soon boss,
2,2023-05-28 03:16:50+00:00,@insiliconot @0x_Lotion @Alice_comfy @IamNomad https://t.co/YrybV8OCSp,
3,2023-05-17 16:18:43+00:00,@mattomattik u didnt have it?,
4,2023-05-17 14:52:09+00:00,"-btc miami
-weekly looks meh

either bottom tweet or
21800",
5,2023-05-14 20:08:31+00:00,@veH0rny lmao thief,
6,2023-05-11 01:45:27+00:00,@gainzy222 i love how you said “us” https://t.co/JGNaXw6Wft,
7,2023-05-10 20:22:52+00:00,buyers buyed,
8,2023-05-10 17:18:30+00:00,sellers sold,
9,2023-05-10 18:04:40+00:00,@natebag 🫡,
10,2023-05-10 18:04:26+00:00,@CryptoKaleo LMAOOO,
11,2023-05-10 17:29:53+00:00,"JUST IN: us gov drops bomb on the bitcoin market, unannounced",
12,2023-05-10 17:26:15+00:00,@Pancakesbrah we are in a video game 😂😂,
13,2023-05-10 17:21:01+00:00,@KeyboardMonkey3 😂😂,
14,2023-05-10 17:20:39+00:00,@LuisGarcia026 caile a ens,
15,2023-05-09 21:04:18+00:00,facing the unfortunate reality via twitter 🫡 https://t.co/6cQ2dcrgsW,
16,2023-05-07 01:22:40+00:00,$BTC https://t.co/GFTw4usNS8,
17,2023-05-03 04:43:51+00:00,@0xVKTR u wont,
18,2023-05-02 14:22:33+00:00,@tier10k https://t.co/Mq6cBaliAG,
19,2023-04-30 15:37:36+00:00,@satsdart i like your question mark symbol,
20,2023-04-26 14:50:40+00:00,@gainzy222 @Dovahkiin_69 give him the pass,
21,2023-04-24 16:13:16+00:00,@blknoiz06 sammich,
22,2023-04-24 13:01:49+00:00,oh they know https://t.co/mO5UKfIygd,
23,2023-04-23 00:12:23+00:00,holding my alts after -94% like,
24,2023-04-22 23:16:09+00:00,@satsdart congrats 🥳,
25,2023-04-22 22:21:10+00:00,@twicrates 😂,
26,2023-04-22 20:27:38+00:00,we live join rn https://t.co/ee66zKfYq2,
27,2023-04-22 19:53:07+00:00,"euro stream in 30min, long time no see https://t.co/cUQiTwbCop",
28,2023-04-22 19:28:29+00:00,@deltaxbt you cut your hair nice man,
