,Datetime,Text,Hashtags
0,2023-06-12 22:10:08+00:00,"Introducing Polygon 2.0: The value layer of internet. 

Huhh.. big talk? But what does it mean actually?

So the way internet allows humans to create, consume and exchange information seamlessly at global scale , Value layer of internet should be able allow everyone to create,… https://t.co/JF85ibvHDA",
1,2023-06-14 20:45:02+00:00,RT @CoingraphNews: JUST IN: @0xPolygonLabs - partnership with Indian Flipkart (supported by Wallmart).,
2,2023-06-14 20:31:02+00:00,"RT @theempirepod: 1/ Policy and regulation are VITAL to crypto's future

@jchervinsky + @RebeccaRettig1 are back for another Policy Series…",
3,2023-06-14 20:30:54+00:00,"RT @0xFireDrops: 🔥🚀 Introducing FireDrops 2.0:
Revolutionizing Rewards Programs in collaboartion with @HangXYZ_  on @0xPolygon 💜 🎁🎉
Join th…",
4,2023-06-14 20:29:01+00:00,"RT @QiDaoProtocol: An important QIP regarding the implementation of a new $QI locking mechanism is now live on QiDao Governance

@Balancer…",
5,2023-06-14 20:28:52+00:00,"RT @0xPolygonLabs: Introducing the official home of Polygon Ventures at https://t.co/oD4LDuFHmW

@PolygonVentures backs trailblazing teams…",
6,2023-06-14 20:28:39+00:00,"RT @MihailoBjelic: .@0xPolygon zkEVM, the most advanced piece of technology in the industry, has successfully processed and proven the firs…",
7,2023-06-14 19:19:25+00:00,"RT @GrendelMarco: PlusCompany fosters innovation by launching the industry’s first internal #DAO, built #onPolygon 💜

Decentralized Orgs ar…","['DAO', 'onPolygon']"
8,2023-06-14 18:02:26+00:00,"RT @0xPolygonLabs: Plus Company is launching +DAO, the industry's first internal Decentralized Autonomous Organization #onPolygon.

@PlusCo…",['onPolygon']
9,2023-06-14 17:28:34+00:00,"RT @MantisSwap: 🚨 Attention Mantises 🚨

We are really excited to be integrated on the first DEX aggregator on @0xPolygon #zkEVM! 💜

Looking…",['zkEVM']
10,2023-06-14 12:58:15+00:00,"RT @TimeswapLabs: 1/ Gm Time Travelers 🧑‍🚀

A lot of buzz about oracleless protocols lately 👀

As the first oracleless lending protocol to…",
11,2023-06-14 12:18:34+00:00,"RT @aavegotchi: devs told me to 
""take the Polygon 2.0 video and stick a gotchi in it""

but why...? 🧐👻

...will report back when i know mor…",
12,2023-06-14 08:39:04+00:00,".@0xPolygon #zkEVM making huge strides in terms of User Experience, be it cost or instant confirmations. Excited for the future of Dapps on Layer2! https://t.co/98MPRlnKpw",['zkEVM']
