,Datetime,Text,Hashtags
0,2020-09-18 18:51:45+00:00,"#Bitcoin is a swarm of cyber hornets serving the goddess of wisdom, feeding on the fire of truth, exponentially growing ever smarter, faster, and stronger behind a wall of encrypted energy.",['Bitcoin']
1,2023-06-14 12:06:12+00:00,#Bitcoin is the Winner. https://t.co/seQAqSlZQT,['Bitcoin']
2,2023-06-13 18:05:30+00:00,Regulatory clarity is going to drive #Bitcoin adoption by eliminating the confusion &amp; anxiety that has been holding back institutional investors. Bitcoin dominance will continue to grow as the #Crypto industry rationalizes around $BTC and goes mainstream. https://t.co/Foq4lpderj,"['Bitcoin', 'Crypto']"
3,2023-06-13 12:39:31+00:00,#Bitcoin is an Instrument of Empowerment. https://t.co/sBUDYbSLBO,['Bitcoin']
4,2023-06-12 12:09:25+00:00,#Bitcoin will rise above. https://t.co/8qBlDlfxr5,['Bitcoin']
5,2023-06-11 09:15:41+00:00,#Bitcoin Inspires. https://t.co/vtjQ5N07lG,['Bitcoin']
6,2023-06-10 12:29:40+00:00,Move your money to Cyberspace. #Bitcoin https://t.co/wRRePtPZTQ,['Bitcoin']
7,2023-06-10 07:01:19+00:00,"Looking forward to my keynote ""The Future of #Bitcoin"" today at @BtcPrague. https://t.co/Du5BxqpZXb",['Bitcoin']
8,2023-06-09 17:33:44+00:00,"RT @Eric_BIGfund: Fireside chat with @Saylor &amp; 3000 Bitcoiners at @BtcPrague ✅ 
#Bitcoin 🚀 https://t.co/y3zlNdhS3t",['Bitcoin']
9,2023-06-09 08:19:02+00:00,Looking for #Bitcoin in Prague. https://t.co/Q3yFsM2geO,['Bitcoin']
10,2023-06-08 13:10:24+00:00,Don’t forget your #Bitcoin. https://t.co/QnKhXGaTE5,['Bitcoin']
11,2023-06-08 08:19:22+00:00,"RT @FlashmanBTC: Sightseeingtour on Karlův most and @saylor walks through the picture🧡
#bitcoin in @BtcPrague

There is no second best pict…",['bitcoin']
12,2023-06-08 07:48:48+00:00,Turkish🇹🇷 Lira Hits All-Time Low.  TRY #BTC https://t.co/fYJ42i4Qi8,['BTC']
13,2023-06-07 12:35:47+00:00,#Bitcoin is Hope. https://t.co/eNXUWtgkBC,['Bitcoin']
14,2023-06-06 11:51:07+00:00,There is only one #Bitcoin. https://t.co/AzcJAycNSX,['Bitcoin']
15,2023-06-05 16:09:29+00:00,Everything is good for #Bitcoin.,['Bitcoin']
16,2023-06-05 13:06:19+00:00,#Bitcoin is a Barrel of Fun. https://t.co/1Ve6gQKJxX,['Bitcoin']
17,2023-06-04 17:34:45+00:00,#Gold can't win. #Bitcoin can't lose. https://t.co/W3mTqDQOcr,"['Gold', 'Bitcoin']"
18,2023-06-04 12:15:02+00:00,#Bitcoin is Just. https://t.co/hvE1euWUnp,['Bitcoin']
19,2023-06-03 17:02:40+00:00,#Bitcoin is engineered to win the Economic War. https://t.co/qrMYOvzbZs,['Bitcoin']
20,2023-06-03 12:00:25+00:00,You are going to wish you had bought more #Bitcoin. https://t.co/mYX5MYGeW9,['Bitcoin']
21,2023-06-02 17:25:58+00:00,#Bitcoin is the Perfect Solution to Broken Money.  https://t.co/gKNohFSIbR,['Bitcoin']
22,2023-06-02 11:58:57+00:00,#Bitcoin is the Exit. https://t.co/3xtOvgqxo5,['Bitcoin']
23,2023-06-01 12:43:58+00:00,#Bitcoin is Beautiful. https://t.co/WD0LFV0OsO,['Bitcoin']
24,2023-06-01 06:31:13+00:00,"“Pretty soon, $44 billion won’t be worth that much anyway.” - @ElonMusk on #Bitcoin.  https://t.co/MH0aV9jxFW",['Bitcoin']
25,2023-05-31 12:07:15+00:00,"#Bitcoin is the first digital commodity, backed by the world's most powerful digital network.",['Bitcoin']
26,2023-05-30 17:50:38+00:00,Vote #Bitcoin https://t.co/qKH4XQqiwf,['Bitcoin']
27,2023-05-29 13:36:59+00:00,Freedom isn't Free. https://t.co/lySQkUWMjR,
28,2023-05-28 12:58:19+00:00,"Join the #Bitcoin Club. 
Membership has its privileges. https://t.co/WKOXXXUiE7",['Bitcoin']
29,2023-05-27 17:45:13+00:00,"My discussion with @MichelleMakori covering the threats to our cybersecurity from AI, cryptographic security solutions based on #Bitcoin, ethical applications of Ordinals &amp; Inscriptions, and @MicroStrategy Lightning &amp; Orange development efforts. https://t.co/nDQkLoR0OL https://t.co/bzavWKsLOQ",['Bitcoin']
30,2023-05-27 14:39:21+00:00,Will you require any presidential candidate to support your right to #Bitcoin before they can earn your vote?,['Bitcoin']
31,2023-05-27 12:36:43+00:00,Back your currency with #Bitcoin. https://t.co/jIZmlebuba,['Bitcoin']
32,2023-05-26 12:26:39+00:00,#Bitcoin is Digital Gold. https://t.co/Tor9FQL4Og,['Bitcoin']
33,2023-05-26 07:02:29+00:00,#Bitcoin is Politically Correct.,['Bitcoin']
34,2023-05-25 12:07:54+00:00,You have every right to do #Bitcoin. - @RonDeSantis https://t.co/74PbhwRnjA,['Bitcoin']
35,2023-05-25 07:56:20+00:00,"Twitter was indeed expensive, but free speech is priceless. - @ElonMusk
https://t.co/N65QmJiVb2",
36,2023-05-24 14:34:18+00:00,#Bitcoin is Culture. https://t.co/ioZiUcvA8v,['Bitcoin']
37,2023-05-23 12:05:22+00:00,I hope everyone had a great #Bitcoin Pizza Day. https://t.co/e0WYoNNLhG,['Bitcoin']
38,2023-05-22 21:41:41+00:00,"My discussion with @billfour at the @BitcoinMagazine Conference 2023 in Miami, discussing the superiority of $BTC as an asset, the growth of interest in #Bitcoin &amp; #Lightning apps, and how companies like @MicroStrategy are leveraging their balance sheet to grow &amp; prosper. https://t.co/85f2HLrxxr","['Bitcoin', 'Lightning']"
39,2023-05-22 12:57:05+00:00,"Today @MicroStrategy submitted a letter responding to and supporting FASB’s proposed accounting standards update to allow fair value accounting for corporate #Bitcoin holdings. If you agree, you can voice support via the FASB survey by 6/6/23. https://t.co/ubJzzoOYat",['Bitcoin']
40,2023-05-22 11:08:02+00:00,Happy #Bitcoin Pizza Day 🍕 https://t.co/NslwCvhiCr,['Bitcoin']
41,2023-05-21 18:04:46+00:00,"My conversation with @Breedlove22 on the nature &amp; history of energy &amp; power, and how they relate to social security, financial security, cybersecurity, &amp; national security. #Bitcoin is digital power that is essential to secure the Internet. https://t.co/D4AfzlRWzi https://t.co/c9EuTCBodd",['Bitcoin']
42,2023-05-21 13:51:42+00:00,#Bitcoin is a Truth Machine. https://t.co/nmwaJ7BlSm,['Bitcoin']
43,2023-05-19 13:30:46+00:00,Everyone is talking about #Bitcoin. https://t.co/4EOcVza6se,['Bitcoin']
44,2023-05-18 17:44:04+00:00,RT @Excellion: Squad. #Bitcoin #Bitcoin2023 https://t.co/73E9hLtAdx,"['Bitcoin', 'Bitcoin2023']"
45,2023-05-18 13:03:25+00:00,#Bitcoin is Wisdom. https://t.co/B6Dz14AvOA,['Bitcoin']
46,2023-05-17 23:48:26+00:00,"My broad ranging discussion with @PeterMcCormack on Life, Intelligence, #Bitcoin, Innovation, &amp; Security.",['Bitcoin']
47,2023-05-17 18:12:29+00:00,"In his keynote at @MicroStrategy World, @MichaelRihani articulated the power of open protocols like #Bitcoin &amp; #Lightning, and discussed how corporations can benefit by building this technology into their products &amp; services, using @CashApp as an example. https://t.co/eILCAhaQf0","['Bitcoin', 'Lightning']"
48,2023-05-17 12:37:05+00:00,#Bitcoin Travels. https://t.co/h8Ykvoi2j3,['Bitcoin']
49,2023-05-16 22:40:19+00:00,#Bitcoin is Freedom Money.  https://t.co/9eFJYDs0MN,['Bitcoin']
50,2023-05-16 18:31:49+00:00,A #Bitcoin Miner is a Digital Fortress defending the Sovereignty of Cyberspace.,['Bitcoin']
51,2023-05-16 13:40:26+00:00,You will need #Bitcoin. https://t.co/LseDwE2ClC,['Bitcoin']
52,2023-05-15 13:31:21+00:00,#Bitcoin is Digital Property. https://t.co/kimXkUHBJR,['Bitcoin']
53,2023-05-14 17:58:10+00:00,"At @MicroStrategy, we are working on a product to deliver a #Bitcoin wallet &amp; #Lightning⚡️ address to every corporate account holder and enable quick &amp; easy development &amp; deployment of bitcoin rewards applications to employees, customers, prospects, &amp; partners. https://t.co/XxYoWtGjvU","['Bitcoin', 'Lightning']"
54,2023-05-14 14:24:36+00:00,Happy Mother's Day. 🧡 https://t.co/cCBj6pgzs6,
55,2023-05-13 17:15:20+00:00,"We have uploaded all sessions from @MicroStrategy's Bitcoin &amp; Lightning for Corporations Conference, featuring @MichaelRihani, @Leishman, @Starkness, @JackMallers, @PrestonPysh, @StephanLivera, @NatBrunell, @LynAldenContact, @JeffBooth, &amp; more.
https://t.co/5nun94H6TW",
56,2023-05-13 13:08:04+00:00,#Bitcoin is the Way. https://t.co/dM1vtohRCH,['Bitcoin']
57,2023-05-12 16:55:09+00:00,"My discussion with @DavidLin_TV concerning the promise &amp; perils of AI, the emerging need for an Orange Check verification solution based on #Bitcoin, the future of education &amp; our economy, along with some advice for young entrepreneurs.  https://t.co/8UHBDALrXK https://t.co/zI5Cp8QkFr",['Bitcoin']
58,2023-05-12 14:17:47+00:00,"We Need More Apps with Lightning⚡️, not More Lightning Apps. https://t.co/uXNl3xFSFa",
59,2023-05-12 12:47:22+00:00,Satoshi started a fire in cyberspace. #Bitcoin https://t.co/KQaK1WNgjQ,['Bitcoin']
60,2023-05-11 16:29:28+00:00,"I am excited to attend @BtcPrague - my first Bitcoin Conference in Europe, and look forward to meeting &amp; learning from the 100+ speakers and 10,000+ attendees working together to advocate #bitcoin adoption and self-sovereignty around the world.
https://t.co/YwJor4J38z",['bitcoin']
61,2023-05-11 12:30:28+00:00,#Bitcoin Rules. https://t.co/VgXXlyZKSx,['Bitcoin']
62,2023-05-10 23:48:40+00:00,"My discussion with @DavidLin_TV covering the collapse of fiat currency &amp; conventional banks, the challenges of commodity money, the rise of bitcoin vs. other assets, the logic of @MicroStrategy, and the outlook for #Bitcoin applications on Layers 1, 2 &amp; 3. https://t.co/aGNYK01B72 https://t.co/AXyVmouTeo",['Bitcoin']
63,2023-05-10 18:48:40+00:00,"Tax, accounting, and regulatory guidance for corporations that wish to invest in #bitcoin, from the digital assets team at @Deloitte.
https://t.co/CaMZCydMbI",['bitcoin']
64,2023-05-10 13:20:06+00:00,#Bitcoin is a Cyber Vault. https://t.co/iYutDGLifI,['Bitcoin']
65,2023-05-10 01:05:38+00:00,"RT @natbrunell: I had the chance to do a live interview with @saylor at @MicroStrategy's #Bitcoin and #Lightning For Corporations.

We disc…","['Bitcoin', 'Lightning']"
66,2023-05-09 21:04:18+00:00,"I stopped by @PBDsPodcast this morning to discuss currencies, crypto, politics, #bitcoin, banking, macro, money, and the media with @patrickbetdavid.    https://t.co/IctlB4l7gN https://t.co/e6ljbGM124",['bitcoin']
67,2023-05-09 12:42:49+00:00,Ride or Die. https://t.co/Vui484IkRb,
